age,service_tenure_years,distance_from_home_station_km,num_dependents,rank,rank_encoded,unit_type,unit_type_encoded,deployment_theatre,deployment_theatre_encoded,deployment_duration_days,posting_transfer_count_last_2yrs,unit_manning_shortfall_pct,promotion_stagnation_years,commute_transit_days,duty_hours_daily,rest_hours_daily,overtime_hours_monthly,night_shift_frequency_monthly,consecutive_night_duty_days,overtime_flag,daily_workload_score,training_hours_last_year,leave_backlog_days,days_since_last_leave,leave_days_last_90d,absenteeism_hours_last_year,family_separation_months,conduct_flag,satisfaction_score,work_life_balance_score,stress_score,sleep_quality_score,fatigue_score,social_support_score,emotional_wellbeing_score,body_mass_index,annual_fitness_grade,annual_fitness_grade_encoded,fitness_trend_score,stagnation_per_tenure_ratio,transit_separation_burden,manning_training_ratio,transfer_tenure_friction,manning_absenteeism_load,training_vs_unit_median,absenteeism_vs_rank_median,welfare_risk_level_encoded,welfare_risk_level
35,5.1,37.0,1,Constable,0,General Duty (GD),0,Peace / Training Center,0,547,2,9.0,5.1,4,8,8,50,4,5,1,13.4,0,28,176,5,129,5,0,3.3,3.0,2.5,3.1,6.5,3.8,4.2,18.8,SHAPE-2,1,-1,0.836,7.17,1.8,0.328,11.61,-27.0,121.0,1,Medium
35,3.1,57.3,0,Constable,0,General Duty (GD),0,Peace / Training Center,0,150,0,13.8,3.1,2,14,8,0,7,9,0,7.2,40,49,218,2,3,11,0,3.4,3.0,8.6,6.4,5.2,4.4,3.7,25.1,SHAPE-2,1,2,0.756,4.97,0.307,0.0,0.41,13.0,-5.0,1,Medium
30,2.1,45.1,0,Sub-Inspector,3,General Duty (GD),0,J&K (CI/Ops),4,497,1,25.7,2.1,4,12,6,0,14,7,0,8.4,64,18,76,2,3,6,1,2.9,3.0,4.1,7.9,5.9,3.9,4.6,31.2,SHAPE-1,0,0,0.677,7.78,0.372,0.323,0.77,37.0,-5.0,1,Medium
45,5.9,88.0,2,Constable,0,General Duty (GD),0,North-East (Counter-Insurgency),3,569,2,19.4,5.9,1,10,9,0,7,11,0,9.4,5,27,81,4,33,9,0,2.0,2.0,6.0,4.0,3.7,3.1,3.4,20.8,SHAPE-1,0,0,0.855,2.3,1.94,0.29,6.4,-22.0,25.0,1,Medium
36,10.2,41.5,0,Constable,0,General Duty (GD),0,Border Outpost (LoC/IB),2,521,0,15.5,3.6,5,8,10,48,9,7,1,6.9,10,18,98,6,8,11,0,3.1,1.9,5.0,9.3,5.2,3.8,2.9,28.4,SHAPE-1,0,0,0.321,12.42,1.033,0.0,1.24,-17.0,0.0,0,Low
37,10.2,42.7,0,Constable,0,VIP Security Wing,2,Peace / Training Center,0,418,0,22.8,4.1,3,10,5,0,10,7,0,8.8,8,31,80,1,2,5,0,4.0,2.9,3.6,7.6,3.1,3.1,3.5,28.4,SHAPE-2,1,0,0.366,5.38,1.754,0.0,0.46,-21.0,-6.0,0,Low
37,10.6,14.0,0,Constable,0,Signal & IT Wing,3,J&K (CI/Ops),4,258,1,16.8,2.4,3,10,6,0,7,14,0,6.8,30,8,200,2,31,12,0,4.0,3.1,2.1,7.1,4.2,3.3,2.2,24.2,SHAPE-1,0,2,0.207,7.69,0.48,0.086,5.21,2.0,23.0,0,Low
57,15.9,80.4,2,Constable,0,General Duty (GD),0,Border Outpost (LoC/IB),2,400,1,11.1,6.0,3,8,8,0,7,7,0,6.7,63,17,21,2,8,4,0,2.3,2.8,5.4,6.4,5.7,5.0,3.2,22.3,SHAPE-1,0,0,0.355,4.83,0.163,0.059,0.89,36.0,0.0,0,Low
49,6.1,21.2,1,Sub-Inspector,3,General Duty (GD),0,LWE / Bastar (Anti-Naxal),5,285,1,18.1,2.3,1,10,9,0,11,11,0,7.0,3,43,72,3,130,4,0,4.0,2.0,6.5,7.9,4.7,4.9,3.6,26.9,SHAPE-2,1,0,0.324,1.61,2.262,0.141,23.53,-24.0,122.0,0,Low
50,17.6,50.2,0,Sub-Inspector,3,CoBRA Strike Unit,5,Static Security / VIP,1,537,1,17.0,6.6,1,10,6,0,12,11,0,7.4,43,14,365,6,86,12,0,4.0,3.0,7.0,4.9,4.6,2.6,2.6,24.6,SHAPE-2,1,0,0.355,2.56,0.354,0.054,14.62,15.0,78.0,1,Medium
45,9.7,37.5,1,Head Constable,1,CoBRA Strike Unit,5,Border Outpost (LoC/IB),2,113,0,14.5,2.7,2,10,7,59,14,5,1,6.5,17,8,76,7,136,16,0,4.0,1.9,5.2,6.7,6.5,3.4,3.9,20.5,SHAPE-1,0,0,0.252,5.67,0.659,0.0,19.72,-11.0,128.0,0,Low
39,3.9,74.3,2,Constable,0,General Duty (GD),0,LWE / Bastar (Anti-Naxal),5,383,0,11.2,3.9,3,12,7,0,8,11,0,6.8,0,27,121,5,40,12,0,3.2,3.1,4.9,3.4,6.3,4.5,5.0,18.9,SHAPE-2,1,0,0.796,7.69,2.24,0.0,4.48,-27.0,32.0,1,Medium
24,3.0,46.0,2,Head Constable,1,Signal & IT Wing,3,Peace / Training Center,0,566,1,16.6,3.0,3,10,8,0,9,7,0,6.2,0,18,58,4,3,3,0,3.9,2.9,4.9,6.6,7.6,2.4,2.8,20.8,SHAPE-1,0,0,0.75,4.16,3.32,0.25,0.5,-28.0,-5.0,0,Low
35,14.9,36.7,2,Inspector,4,General Duty (GD),0,LWE / Bastar (Anti-Naxal),5,215,1,12.5,5.2,3,10,9,0,9,14,0,6.0,58,43,36,0,2,12,0,3.0,3.0,3.2,4.8,7.0,4.7,2.7,27.9,SHAPE-3,2,-1,0.327,7.69,0.198,0.063,0.25,31.0,-6.0,1,Medium
34,3.0,40.2,4,Sub-Inspector,3,General Duty (GD),0,LWE / Bastar (Anti-Naxal),5,579,1,23.9,3.0,4,10,10,0,8,10,0,9.6,0,26,110,6,0,8,0,3.3,3.0,2.7,5.9,2.6,2.6,3.0,21.9,SHAPE-3,2,-1,0.75,8.79,4.78,0.25,0.0,-27.0,-8.0,0,Low
31,12.2,100.0,3,Constable,0,General Duty (GD),0,Border Outpost (LoC/IB),2,450,1,16.5,1.4,4,16,6,0,11,7,0,7.3,44,50,123,3,80,5,0,1.6,2.9,9.4,3.1,6.1,4.2,3.4,25.0,SHAPE-1,0,2,0.106,7.17,0.337,0.076,13.2,17.0,72.0,2,High
36,7.9,49.7,1,ASI,2,General Duty (GD),0,LWE / Bastar (Anti-Naxal),5,139,0,18.8,1.9,5,12,8,0,14,10,0,6.9,36,40,65,3,25,3,0,2.4,3.0,4.9,5.7,7.6,3.1,2.9,22.4,SHAPE-2,1,0,0.213,6.93,0.459,0.0,4.7,9.0,17.0,1,Medium
41,5.0,20.0,0,ASI,2,CoBRA Strike Unit,5,Border Outpost (LoC/IB),2,515,3,17.0,1.3,1,8,6,25,6,5,1,11.0,65,11,150,7,95,14,0,3.2,2.0,8.0,4.4,4.6,3.9,3.4,28.4,SHAPE-2,1,0,0.217,2.71,0.243,0.5,16.15,37.0,87.0,1,Medium
37,4.0,87.5,0,Sub-Inspector,3,General Duty (GD),0,Border Outpost (LoC/IB),2,310,2,10.1,3.0,4,10,7,45,10,12,1,13.5,60,32,113,1,153,18,0,1.3,3.0,6.2,5.0,2.2,3.6,2.0,18.8,SHAPE-2,1,1,0.6,11.78,0.155,0.4,15.45,33.0,145.0,2,High
38,10.2,85.3,0,Constable,0,Signal & IT Wing,3,Border Outpost (LoC/IB),2,121,2,14.8,3.1,5,16,6,22,6,11,1,8.5,43,21,195,1,3,11,0,2.0,2.9,6.8,6.4,4.7,3.7,2.7,24.8,SHAPE-1,0,0,0.277,12.42,0.308,0.179,0.44,15.0,-5.0,2,High
45,10.0,100.0,2,ASI,2,General Duty (GD),0,LWE / Bastar (Anti-Naxal),5,666,3,15.0,6.0,4,12,9,62,5,6,1,6.0,31,50,31,3,2,8,0,1.9,1.9,4.5,6.4,6.0,4.7,4.0,23.4,SHAPE-3,2,-1,0.545,8.79,0.417,0.273,0.3,4.0,-6.0,1,Medium
35,3.0,28.1,1,Head Constable,1,General Duty (GD),0,LWE / Bastar (Anti-Naxal),5,132,1,13.3,3.0,5,8,7,39,6,9,1,9.8,59,20,105,4,2,24,0,3.5,3.1,4.4,3.8,4.4,1.9,3.7,24.8,SHAPE-2,1,-1,0.75,16.09,0.208,0.25,0.27,32.0,-6.0,1,Medium
46,5.9,83.8,0,Head Constable,1,General Duty (GD),0,North-East (Counter-Insurgency),3,238,2,35.5,3.0,5,14,8,0,12,7,0,8.7,14,29,89,7,56,7,0,1.8,4.0,5.6,4.6,4.4,3.6,1.3,24.3,SHAPE-1,0,-1,0.435,10.4,1.868,0.29,19.88,-13.0,48.0,1,Medium
56,18.6,51.7,0,Constable,0,CoBRA Strike Unit,5,J&K (CI/Ops),4,476,3,15.4,2.0,3,10,6,0,13,9,0,7.2,5,26,146,5,24,6,0,3.0,3.0,4.2,8.4,3.5,3.3,4.5,25.4,SHAPE-2,1,0,0.102,5.84,1.54,0.153,3.7,-23.0,16.0,0,Low
54,33.3,9.1,2,ASI,2,General Duty (GD),0,LWE / Bastar (Anti-Naxal),5,393,0,29.6,3.3,4,8,7,0,15,8,0,6.0,70,17,24,3,2,16,0,1.0,2.9,5.3,6.8,5.1,3.4,3.2,24.6,SHAPE-1,0,1,0.096,11.33,0.395,0.0,0.59,43.0,-6.0,0,Low
32,9.8,4.3,4,Constable,0,VIP Security Wing,2,J&K (CI/Ops),4,491,0,12.1,3.1,4,8,10,63,8,9,1,6.0,72,43,182,3,3,5,0,3.9,2.1,7.2,4.4,6.4,3.2,3.0,21.1,SHAPE-1,0,0,0.287,7.17,0.157,0.0,0.36,43.0,-5.0,1,Medium
41,5.1,62.6,0,Constable,0,General Duty (GD),0,LWE / Bastar (Anti-Naxal),5,358,0,16.9,1.5,4,10,5,0,8,10,0,6.0,11,46,153,5,4,22,0,1.0,3.0,5.1,5.4,4.8,3.0,4.0,29.1,SHAPE-1,0,0,0.246,12.54,1.056,0.0,0.68,-16.0,-4.0,1,Medium
38,9.7,41.9,0,Inspector,4,General Duty (GD),0,Static Security / VIP,1,236,2,10.9,3.0,5,12,8,0,9,9,0,7.7,38,9,96,4,4,14,0,3.9,2.9,6.1,3.6,6.6,3.8,4.5,27.6,SHAPE-3,2,0,0.28,13.54,0.253,0.187,0.44,11.0,-4.0,0,Low
43,5.0,84.6,1,Constable,0,Signal & IT Wing,3,J&K (CI/Ops),4,670,3,11.6,1.6,4,10,6,0,12,11,0,6.7,0,9,54,4,32,16,1,1.6,2.0,6.3,4.9,6.6,2.3,3.4,24.8,SHAPE-1,0,0,0.267,11.33,2.32,0.5,3.71,-28.0,24.0,1,Medium
33,3.6,20.5,0,ASI,2,General Duty (GD),0,North-East (Counter-Insurgency),3,332,1,8.6,1.5,5,10,7,0,6,8,0,7.1,0,52,229,3,121,13,0,3.9,2.9,4.2,5.5,3.8,4.4,3.7,24.9,SHAPE-1,0,-2,0.326,13.2,1.72,0.217,10.41,-27.0,113.0,1,Medium
29,2.0,41.0,1,Constable,0,CoBRA Strike Unit,5,LWE / Bastar (Anti-Naxal),5,236,0,24.3,1.9,5,8,6,25,11,11,1,11.9,12,28,55,0,16,10,0,2.6,3.1,7.6,4.6,2.5,3.7,3.4,31.7,SHAPE-1,0,1,0.633,11.99,1.429,0.0,3.89,-16.0,8.0,1,Medium
20,0.5,13.4,1,ASI,2,General Duty (GD),0,Border Outpost (LoC/IB),2,653,1,15.5,0.5,3,10,8,29,8,8,1,6.0,64,15,41,5,124,24,0,4.0,4.0,5.9,5.3,6.5,3.3,2.7,24.5,SHAPE-1,0,0,0.333,9.66,0.225,0.667,19.22,37.0,116.0,1,Medium
35,16.7,100.0,1,Head Constable,1,General Duty (GD),0,Peace / Training Center,0,599,1,19.5,5.4,5,8,6,0,8,5,0,8.9,15,18,106,2,0,12,0,2.9,3.1,2.2,6.8,2.4,3.2,3.3,29.3,SHAPE-2,1,0,0.305,12.82,0.975,0.056,0.0,-12.0,-8.0,0,Low
53,15.6,12.8,2,Constable,0,General Duty (GD),0,LWE / Bastar (Anti-Naxal),5,135,2,13.9,3.5,4,10,9,0,10,7,0,7.7,17,35,129,2,3,7,0,1.0,3.0,2.2,5.0,3.3,3.7,3.8,25.5,SHAPE-1,0,2,0.211,8.32,0.632,0.12,0.42,-10.0,-5.0,0,Low
29,1.0,14.0,0,Constable,0,Signal & IT Wing,3,North-East (Counter-Insurgency),3,387,3,17.4,1.0,4,12,7,0,12,10,0,6.0,59,21,178,4,2,17,0,2.9,3.0,4.9,8.8,5.0,2.5,4.0,23.8,SHAPE-1,0,-2,0.5,11.56,0.272,1.5,0.35,31.0,-6.0,1,Medium
29,6.2,4.5,0,Constable,0,VIP Security Wing,2,J&K (CI/Ops),4,549,4,11.4,4.7,1,10,6,0,8,9,0,6.0,11,23,63,6,2,5,0,3.0,4.0,4.2,3.7,5.7,3.9,3.4,25.2,SHAPE-3,2,1,0.653,1.79,0.712,0.556,0.23,-18.0,-6.0,1,Medium
23,1.9,43.3,0,Head Constable,1,General Duty (GD),0,Static Security / VIP,1,103,3,9.1,1.9,2,10,6,0,10,10,0,6.0,40,51,45,2,123,15,0,3.1,3.1,4.7,6.9,5.9,3.9,3.9,22.9,SHAPE-4,3,0,0.655,5.55,0.202,1.034,11.19,13.0,115.0,1,Medium
48,14.3,87.6,2,ASI,2,General Duty (GD),0,LWE / Bastar (Anti-Naxal),5,266,0,15.7,4.4,5,8,7,0,14,7,0,6.4,19,22,157,5,3,17,0,3.3,1.9,4.0,4.8,4.4,3.3,4.3,32.5,SHAPE-1,0,0,0.288,14.45,0.654,0.0,0.47,-8.0,-5.0,1,Medium
51,17.6,41.7,1,Head Constable,1,General Duty (GD),0,J&K (CI/Ops),4,658,2,19.4,4.8,2,12,6,59,7,5,1,8.4,24,31,37,2,1,5,0,3.2,3.0,5.7,4.4,2.5,4.0,2.5,30.5,SHAPE-2,1,-2,0.258,3.58,0.669,0.108,0.19,-3.0,-7.0,1,Medium
28,2.1,64.2,1,Constable,0,General Duty (GD),0,North-East (Counter-Insurgency),3,425,1,11.0,2.1,4,8,6,0,13,11,0,7.2,0,28,153,3,1,6,0,2.9,3.1,2.6,8.9,3.8,5.0,3.2,22.7,SHAPE-1,0,-2,0.677,7.78,2.2,0.323,0.11,-27.0,-7.0,0,Low
36,9.8,84.1,1,Head Constable,1,General Duty (GD),0,Static Security / VIP,1,337,1,18.7,5.8,3,8,6,41,10,9,1,14.7,0,23,95,5,16,5,0,2.4,2.0,4.3,6.6,5.1,3.8,3.6,31.3,SHAPE-1,0,-1,0.537,5.38,3.74,0.093,2.99,-27.0,8.0,0,Low
39,17.2,62.7,0,Constable,0,General Duty (GD),0,North-East (Counter-Insurgency),3,313,3,26.9,6.6,5,8,9,0,14,4,0,9.8,48,37,84,3,1,9,0,3.5,3.0,5.8,6.5,5.6,3.7,3.5,31.9,SHAPE-1,0,-1,0.363,11.51,0.508,0.165,0.27,21.0,-7.0,1,Medium
35,2.9,64.4,1,Constable,0,General Duty (GD),0,North-East (Counter-Insurgency),3,215,0,25.4,2.9,2,12,9,42,3,6,1,10.5,48,16,69,4,132,5,0,2.5,3.2,6.9,6.7,3.8,4.0,3.2,22.0,SHAPE-1,0,-1,0.744,3.58,0.479,0.0,33.53,21.0,124.0,1,Medium
43,10.2,9.1,0,ASI,2,General Duty (GD),0,J&K (CI/Ops),4,637,2,21.5,3.4,4,12,7,54,10,10,1,7.8,48,24,71,3,159,6,0,4.0,3.0,5.4,3.4,6.1,4.3,3.3,25.0,SHAPE-2,1,0,0.304,7.78,0.406,0.179,34.18,21.0,151.0,1,Medium
37,5.1,39.7,0,ASI,2,General Duty (GD),0,Peace / Training Center,0,454,0,12.1,2.2,3,8,9,0,9,10,0,6.0,59,7,77,7,8,2,0,1.9,2.9,5.6,6.9,3.6,4.4,1.9,23.1,SHAPE-1,0,0,0.361,3.3,0.189,0.0,0.97,32.0,0.0,0,Low
36,11.2,89.0,4,ASI,2,General Duty (GD),0,LWE / Bastar (Anti-Naxal),5,604,1,14.1,8.7,3,8,5,0,9,6,0,7.5,65,24,106,5,3,4,0,4.0,4.0,3.7,2.9,3.6,3.6,5.0,22.4,SHAPE-1,0,-1,0.713,4.83,0.201,0.082,0.42,38.0,-5.0,0,Low
40,11.8,4.5,2,ASI,2,General Duty (GD),0,J&K (CI/Ops),4,381,1,13.2,0.5,1,8,5,0,8,7,0,6.0,0,20,22,4,1,6,0,3.9,3.1,6.8,8.2,4.0,4.6,3.3,30.8,SHAPE-2,1,-1,0.039,1.95,2.64,0.078,0.13,-27.0,-7.0,0,Low
51,35.7,13.1,1,Constable,0,General Duty (GD),0,J&K (CI/Ops),4,88,1,9.0,8.8,1,8,8,0,12,12,0,6.0,36,15,112,6,0,8,0,1.0,4.0,7.7,6.6,3.2,3.5,4.6,35.4,SHAPE-1,0,0,0.24,2.2,0.22,0.027,0.0,9.0,-8.0,0,Low
30,2.0,19.9,0,Constable,0,General Duty (GD),0,Border Outpost (LoC/IB),2,276,1,17.8,2.0,2,10,7,0,13,6,0,6.3,17,21,206,8,104,24,0,3.8,2.0,5.9,6.4,6.4,2.7,3.7,30.5,SHAPE-2,1,0,0.667,6.44,0.809,0.333,18.51,-10.0,96.0,1,Medium
47,13.6,91.0,2,Constable,0,Rapid Action Force (RAF),1,LWE / Bastar (Anti-Naxal),5,251,1,9.3,7.6,2,12,7,0,7,9,0,9.6,0,17,122,3,3,11,0,1.3,3.0,6.1,3.8,3.9,2.9,4.9,31.0,SHAPE-1,0,2,0.521,4.97,1.86,0.068,0.28,-28.0,-5.0,1,Medium
38,9.9,48.9,0,Head Constable,1,Medical & Logistics,4,J&K (CI/Ops),4,542,0,9.5,3.7,2,14,8,29,9,4,1,6.0,29,22,155,1,3,13,0,4.0,3.0,6.0,6.7,5.5,4.3,4.0,22.1,SHAPE-1,0,1,0.339,5.28,0.279,0.0,0.28,1.0,-5.0,1,Medium
35,8.5,28.2,1,Constable,0,Rapid Action Force (RAF),1,J&K (CI/Ops),4,456,0,15.5,1.0,4,14,8,0,6,6,0,6.8,28,31,102,0,84,10,0,3.2,3.1,4.4,5.7,3.6,3.2,4.9,31.6,SHAPE-1,0,0,0.105,9.59,0.47,0.0,13.02,0.0,76.0,0,Low
46,23.9,18.2,2,Constable,0,General Duty (GD),0,LWE / Bastar (Anti-Naxal),5,325,1,18.2,3.9,4,10,7,0,5,7,0,6.0,46,13,120,6,104,9,0,3.8,3.0,2.8,7.8,4.2,2.1,2.9,28.2,SHAPE-1,0,-1,0.157,9.21,0.357,0.04,18.93,19.0,96.0,0,Low
48,31.5,88.9,0,Inspector,4,Rapid Action Force (RAF),1,Border Outpost (LoC/IB),2,125,0,24.7,4.0,4,12,5,53,13,9,1,8.1,25,37,184,0,8,11,0,3.1,3.0,5.3,6.0,4.5,3.7,2.5,24.3,SHAPE-1,0,1,0.123,9.94,0.823,0.0,1.98,-3.0,0.0,2,High
37,4.0,83.7,0,Constable,0,General Duty (GD),0,J&K (CI/Ops),4,634,0,15.0,4.0,1,14,6,57,12,7,1,13.1,3,26,106,9,0,8,0,1.3,3.1,6.7,3.4,5.3,3.5,3.3,30.9,SHAPE-2,1,2,0.8,2.2,1.875,0.0,0.0,-24.0,-8.0,1,Medium
38,7.6,37.1,1,Constable,0,General Duty (GD),0,J&K (CI/Ops),4,227,0,22.8,6.5,5,8,6,0,8,9,0,7.1,0,29,149,4,34,8,0,3.2,2.8,5.9,5.8,5.6,4.3,3.9,22.3,SHAPE-1,0,-2,0.756,10.99,4.56,0.0,7.75,-27.0,26.0,1,Medium
34,5.9,4.6,0,Constable,0,General Duty (GD),0,North-East (Counter-Insurgency),3,402,1,14.0,4.0,5,10,7,62,11,10,1,6.0,41,52,66,6,1,5,0,4.0,3.0,5.8,4.7,3.1,3.5,2.8,23.5,SHAPE-2,1,1,0.58,8.96,0.304,0.145,0.14,14.0,-7.0,1,Medium
25,4.8,13.5,0,Constable,0,General Duty (GD),0,North-East (Counter-Insurgency),3,212,1,10.8,2.3,2,14,8,25,9,6,1,6.0,29,22,113,5,8,13,0,1.0,3.1,4.4,5.7,2.3,2.9,3.3,25.2,SHAPE-1,0,0,0.397,5.28,0.318,0.172,0.86,2.0,0.0,1,Medium
33,3.0,44.0,0,Constable,0,Medical & Logistics,4,North-East (Counter-Insurgency),3,300,1,16.7,3.0,3,8,6,28,7,9,1,10.0,16,35,89,4,54,8,1,2.9,3.8,4.2,8.7,6.9,2.6,3.8,37.3,SHAPE-1,0,0,0.75,6.59,0.795,0.25,9.02,-12.0,46.0,2,High
38,4.1,41.2,2,Sub-Inspector,3,General Duty (GD),0,North-East (Counter-Insurgency),3,405,0,18.9,4.1,4,12,9,18,11,10,1,10.6,14,16,75,3,8,11,0,1.2,2.9,4.6,6.5,4.9,3.5,4.4,30.6,SHAPE-1,0,0,0.804,9.94,0.995,0.0,1.51,-13.0,0.0,1,Medium
42,7.8,9.2,1,Head Constable,1,Medical & Logistics,4,Static Security / VIP,1,400,1,9.8,2.0,1,12,7,18,8,11,1,8.6,6,11,242,2,3,3,0,3.9,3.0,4.2,4.4,8.6,3.3,3.8,20.8,SHAPE-1,0,0,0.227,1.39,0.891,0.114,0.29,-22.0,-5.0,1,Medium
39,3.8,55.9,1,Head Constable,1,General Duty (GD),0,LWE / Bastar (Anti-Naxal),5,686,3,8.0,0.9,1,10,7,54,8,5,1,11.7,6,34,33,3,2,14,0,2.8,2.9,4.7,4.0,5.6,2.9,3.9,26.3,SHAPE-2,1,-1,0.188,2.71,0.727,0.625,0.16,-21.0,-6.0,1,Medium
34,3.1,47.5,2,Sub-Inspector,3,Medical & Logistics,4,J&K (CI/Ops),4,291,2,13.2,2.6,5,14,6,0,11,8,0,6.6,10,29,227,2,135,11,0,2.1,2.9,3.4,4.4,7.0,3.9,3.5,31.0,SHAPE-1,0,0,0.634,12.42,0.88,0.488,17.82,-18.0,127.0,1,Medium
43,4.8,28.7,0,Constable,0,CoBRA Strike Unit,5,J&K (CI/Ops),4,518,0,14.0,0.8,5,12,8,0,10,5,0,6.1,31,13,263,7,127,6,0,2.5,4.0,5.8,8.0,3.3,1.8,3.9,25.7,SHAPE-1,0,0,0.138,9.73,0.389,0.0,17.78,3.0,119.0,0,Low
43,16.5,88.6,0,Constable,0,General Duty (GD),0,LWE / Bastar (Anti-Naxal),5,96,0,19.7,3.3,4,14,6,0,14,13,0,6.7,0,25,133,3,8,12,0,2.2,2.0,3.8,6.3,6.4,2.4,2.9,22.8,SHAPE-1,0,0,0.189,10.26,3.94,0.0,1.58,-27.0,0.0,1,Medium
38,17.6,64.3,0,ASI,2,VIP Security Wing,2,Static Security / VIP,1,221,2,10.9,6.4,4,10,7,0,10,6,0,8.9,3,32,212,2,1,11,0,3.1,1.0,5.3,2.7,4.5,4.8,3.3,30.8,SHAPE-1,0,0,0.344,9.94,1.362,0.108,0.11,-26.0,-7.0,1,Medium
38,9.7,40.9,0,Constable,0,General Duty (GD),0,Border Outpost (LoC/IB),2,566,1,11.4,2.9,4,14,6,0,7,6,0,6.8,13,21,36,3,1,14,0,1.3,3.1,7.0,3.5,3.3,2.7,2.2,27.2,SHAPE-1,0,0,0.271,10.83,0.633,0.093,0.11,-14.0,-7.0,1,Medium
