eda_mean_microsiemens,eda_std,hrv_rmssd_ms,hrv_lf_hf_ratio,skin_temp_slope,acc_magnitude_g,physiological_state
1.494,0.197,50.7,0.89,-0.0028,1.0,Baseline
1.048,0.261,55.8,0.66,-0.0006,0.96,Baseline
1.96,0.307,36.2,1.13,-0.0003,1.03,Baseline
4.756,0.65,26.1,2.32,-0.0146,1.05,Stress
6.781,0.788,23.7,1.89,-0.029,0.89,Stress
1.934,0.241,39.2,1.37,-0.001,1.01,Baseline
6.435,0.979,26.4,2.27,-0.0308,0.98,Stress
1.694,0.121,53.7,1.12,-0.0004,0.97,Baseline
4.702,0.888,21.5,3.65,-0.0205,1.05,Stress
2.154,0.219,64.5,1.19,-0.0012,1.02,Baseline
3.128,0.822,27.8,2.68,-0.0206,0.86,Stress
1.526,0.207,56.6,0.79,0.0025,0.96,Baseline
7.454,1.328,26.8,3.09,0.0181,3.05,Physical_Exertion
2.3,0.146,68.9,1.02,0.0006,1.01,Baseline
1.733,0.265,62.9,0.58,0.0026,0.92,Baseline
2.316,0.29,44.1,0.98,-0.0022,0.99,Baseline
5.538,1.434,42.5,2.9,0.0244,2.37,Physical_Exertion
3.475,0.958,39.7,3.01,0.0177,2.14,Physical_Exertion
1.787,0.222,46.9,1.23,-0.0009,1.0,Baseline
5.156,0.801,25.4,2.73,-0.0204,1.01,Stress
5.612,1.68,36.5,2.05,0.037,2.3,Physical_Exertion
5.908,0.874,27.4,3.07,-0.0279,0.94,Stress
3.067,0.829,38.4,4.14,-0.0168,1.1,Stress
0.899,0.157,47.1,0.91,-0.0003,0.98,Baseline
0.81,0.26,44.3,1.17,0.0041,0.95,Baseline
2.205,1.114,40.8,3.18,0.0177,2.8,Physical_Exertion
5.302,1.168,53.2,1.45,0.0325,2.78,Physical_Exertion
5.803,0.82,29.8,2.57,-0.0187,1.02,Stress
2.111,0.17,58.8,1.09,0.0023,1.0,Baseline
0.913,0.301,45.9,0.9,-0.0012,1.07,Baseline
1.937,1.428,34.3,2.93,-0.0203,1.08,Stress
6.782,1.394,36.4,2.24,0.028,2.41,Physical_Exertion
5.708,1.54,36.7,0.73,0.0366,2.62,Physical_Exertion
4.478,0.722,34.7,3.37,-0.0239,1.09,Stress
3.334,0.524,24.2,3.32,-0.0152,1.1,Stress
2.163,0.241,48.6,1.23,0.0016,1.04,Baseline
2.394,0.257,58.5,1.42,-0.0001,0.96,Baseline
5.755,0.977,26.6,2.13,0.0221,2.32,Physical_Exertion
2.228,0.843,28.0,2.31,-0.0167,1.14,Stress
0.996,0.139,47.3,0.82,0.0017,0.99,Baseline
1.668,0.04,61.4,0.73,0.0001,1.01,Baseline
6.133,0.538,9.9,2.91,-0.011,1.17,Stress
1.905,0.161,63.1,0.81,0.001,1.03,Baseline
2.33,0.421,58.9,0.95,-0.0001,0.91,Baseline
3.666,0.718,24.9,2.89,-0.0241,1.16,Stress
4.5,0.798,26.0,2.89,-0.0159,0.96,Stress
3.71,0.739,19.9,2.31,-0.0224,1.14,Stress
1.931,0.215,63.5,1.06,0.0008,0.99,Baseline
4.818,0.683,13.4,2.72,-0.0129,1.14,Stress
2.283,0.299,55.9,1.16,-0.0012,0.98,Baseline
2.108,0.296,53.6,0.96,0.0,1.03,Baseline
2.767,0.341,24.7,2.07,-0.0225,1.04,Stress
3.956,1.09,30.0,2.98,-0.0169,0.94,Stress
7.559,1.177,37.4,1.66,0.0145,2.99,Physical_Exertion
4.952,0.62,22.8,3.48,-0.0259,1.21,Stress
3.419,0.928,26.0,3.16,-0.0227,1.03,Stress
1.82,0.12,62.4,0.95,-0.0005,0.95,Baseline
0.519,0.185,79.1,1.34,-0.0,0.99,Baseline
1.811,0.244,43.2,1.43,0.0014,1.04,Baseline
2.019,0.202,61.7,1.28,-0.0007,0.97,Baseline
6.153,1.665,22.1,1.47,0.0316,2.53,Physical_Exertion
1.887,0.22,52.8,1.55,-0.0032,0.96,Baseline
5.845,0.707,30.6,3.03,0.0302,2.64,Physical_Exertion
2.988,0.677,25.7,2.61,-0.0136,1.11,Stress
3.166,0.849,31.0,3.48,-0.0121,0.95,Stress
3.527,0.548,26.6,3.08,-0.0151,1.04,Stress
4.116,0.83,23.0,4.05,-0.028,1.07,Stress
6.928,0.801,26.9,2.59,-0.0209,1.19,Stress
0.694,0.323,40.8,1.02,-0.0009,1.03,Baseline
2.582,0.892,40.1,1.98,-0.0191,0.98,Stress
2.013,0.202,48.6,1.25,0.0036,0.99,Baseline
2.16,0.097,45.4,1.24,0.003,1.02,Baseline
4.124,0.8,20.5,3.16,-0.0156,1.0,Stress
1.565,0.221,50.6,1.08,0.0042,0.99,Baseline
5.462,1.006,38.0,2.11,0.0235,3.29,Physical_Exertion
8.129,1.02,17.1,2.7,0.0232,2.97,Physical_Exertion
3.045,1.468,22.3,2.57,0.0301,1.93,Physical_Exertion
1.596,0.255,56.1,1.28,0.004,0.92,Baseline
2.609,0.208,46.0,0.7,-0.0004,1.05,Baseline
5.809,1.653,20.4,2.19,0.0175,2.72,Physical_Exertion
2.243,0.166,29.0,1.16,0.0009,1.02,Baseline
7.854,0.879,37.4,2.8,0.0122,2.69,Physical_Exertion
5.244,1.176,34.8,1.96,0.0232,2.52,Physical_Exertion
4.369,0.874,37.4,1.63,0.0367,2.78,Physical_Exertion
0.937,0.146,66.9,0.81,-0.0009,1.02,Baseline
2.192,0.18,49.0,1.53,0.0035,1.05,Baseline
6.128,0.958,25.4,2.46,0.0342,3.34,Physical_Exertion
2.125,0.08,65.5,0.8,-0.0008,1.01,Baseline
2.798,0.449,61.1,1.05,0.0011,1.04,Baseline
4.115,1.159,29.4,3.1,-0.0167,1.09,Stress
7.258,1.015,27.5,1.65,0.0344,2.97,Physical_Exertion
5.049,1.135,28.0,3.2,-0.0255,1.01,Stress
5.335,0.97,26.2,2.76,-0.0276,1.01,Stress
2.245,0.246,60.0,1.11,0.0,0.97,Baseline
5.339,0.884,31.0,2.48,-0.0308,1.16,Stress
5.282,0.941,37.5,2.0,0.0406,2.87,Physical_Exertion
2.142,0.091,67.1,1.18,-0.0007,1.01,Baseline
2.369,0.882,21.8,1.99,-0.0276,1.16,Stress
5.056,1.66,27.7,1.35,0.0188,3.24,Physical_Exertion
4.313,0.69,29.0,3.1,-0.0144,1.19,Stress
4.068,0.535,25.5,2.96,-0.0248,0.95,Stress
4.913,0.79,28.2,2.34,-0.0212,0.96,Stress
2.245,0.283,36.5,0.82,-0.003,0.97,Baseline
1.758,0.084,45.8,0.8,0.0004,1.0,Baseline
4.917,1.253,27.6,2.06,0.0467,3.3,Physical_Exertion
4.051,1.449,38.5,1.63,0.0382,3.42,Physical_Exertion
4.316,0.925,40.1,2.34,0.0355,2.7,Physical_Exertion
6.586,0.802,40.4,2.78,0.0277,2.47,Physical_Exertion
2.663,0.903,31.4,2.76,-0.0144,1.02,Stress
5.178,0.596,27.9,2.7,-0.0189,1.01,Stress
4.342,0.965,25.4,1.84,-0.0113,1.19,Stress
2.949,0.938,25.0,2.96,-0.0185,1.03,Stress
3.559,0.662,22.5,2.3,-0.0203,0.98,Stress
5.318,1.097,24.5,2.94,-0.0175,1.1,Stress
6.114,1.423,35.9,1.58,0.0387,3.03,Physical_Exertion
1.418,0.203,61.8,1.04,0.0021,1.12,Baseline
1.407,0.09,58.0,1.32,-0.0005,1.07,Baseline
1.131,0.255,48.9,1.62,0.004,0.96,Baseline
3.841,0.972,25.7,2.77,-0.0199,0.86,Stress
1.793,0.145,50.1,1.53,-0.0025,1.04,Baseline
4.165,0.744,32.7,3.0,-0.0171,1.15,Stress
4.102,0.678,21.5,2.3,-0.0053,1.17,Stress
1.124,0.094,59.8,1.26,0.0011,0.99,Baseline
4.349,0.866,28.5,1.47,-0.0211,0.96,Stress
1.888,0.439,58.7,1.01,0.0018,1.02,Baseline
2.01,0.249,75.6,0.76,0.0009,0.95,Baseline
6.833,0.924,28.7,2.05,0.0398,3.05,Physical_Exertion
1.177,0.204,47.9,0.72,-0.0004,0.98,Baseline
3.013,0.235,41.2,0.93,0.002,1.1,Baseline
2.597,0.424,39.2,3.03,-0.0243,1.1,Stress
1.337,0.801,30.0,3.35,-0.0251,1.06,Stress
1.337,0.22,46.0,0.98,-0.002,1.03,Baseline
5.53,0.753,28.2,1.93,-0.0215,1.04,Stress
3.11,0.111,69.6,1.4,0.0006,1.09,Baseline
1.986,0.231,54.5,1.47,0.0022,0.97,Baseline
2.917,0.759,23.2,2.76,-0.0138,1.0,Stress
4.449,0.812,33.1,1.45,-0.023,1.07,Stress
5.94,0.702,16.7,3.17,-0.0232,0.93,Stress
3.751,0.763,24.4,1.48,-0.0155,1.18,Stress
6.977,0.859,30.4,2.2,0.036,2.9,Physical_Exertion
3.619,0.816,30.7,3.67,-0.0165,1.13,Stress
1.842,0.313,59.1,0.84,0.0028,1.03,Baseline
3.968,0.704,29.8,3.08,-0.019,1.08,Stress
2.65,0.286,56.9,1.38,-0.0021,1.02,Baseline
2.705,0.183,46.5,0.9,-0.0022,0.96,Baseline
1.615,0.088,55.2,1.37,-0.0018,1.08,Baseline
2.055,0.282,48.4,1.36,-0.0022,1.04,Baseline
6.258,1.366,22.6,1.75,0.036,1.93,Physical_Exertion
6.695,0.79,38.8,1.58,0.0355,2.88,Physical_Exertion
3.664,0.916,29.6,2.48,-0.025,0.85,Stress
1.975,0.075,56.0,1.02,0.0014,0.98,Baseline
1.635,0.259,58.4,1.19,0.0009,0.92,Baseline
2.178,0.249,44.8,1.03,-0.0001,0.99,Baseline
1.967,0.315,65.8,0.71,0.0012,1.07,Baseline
4.964,1.018,40.1,3.41,-0.0188,1.15,Stress
4.674,0.805,25.9,3.74,-0.0241,1.2,Stress
5.1,0.52,30.2,1.54,-0.0169,1.14,Stress
1.504,0.21,74.5,0.95,-0.0021,1.07,Baseline
8.944,1.201,40.1,2.87,0.0226,2.21,Physical_Exertion
5.977,1.137,31.4,2.27,-0.0101,1.0,Stress
4.098,0.868,37.3,3.31,-0.0179,1.1,Stress
4.552,0.912,12.8,2.62,-0.0188,0.93,Stress
1.993,0.184,72.6,1.57,-0.0009,0.99,Baseline
1.763,0.164,57.0,0.87,-0.0023,1.03,Baseline
2.115,0.136,64.0,0.91,0.0005,1.04,Baseline
4.46,0.891,24.9,2.68,-0.021,0.98,Stress
1.712,0.076,50.1,1.01,-0.0005,0.99,Baseline
1.769,0.238,63.7,0.91,-0.0024,0.95,Baseline
1.556,0.172,47.3,0.71,-0.0009,1.01,Baseline
2.098,0.155,50.9,0.82,-0.0001,0.96,Baseline
6.86,0.664,29.1,2.35,0.0318,4.12,Physical_Exertion
4.92,0.599,27.4,1.73,-0.0204,0.97,Stress
5.598,0.69,27.3,2.42,-0.0113,1.02,Stress
2.716,0.265,59.8,1.21,0.0008,0.9,Baseline
4.165,0.969,27.7,1.96,-0.0203,1.22,Stress
5.996,0.788,33.7,2.58,-0.0285,0.96,Stress
2.581,0.178,52.6,1.01,0.0038,1.08,Baseline
2.909,0.187,58.0,0.65,0.003,0.94,Baseline
1.908,0.112,49.1,0.85,-0.0012,0.97,Baseline
3.842,0.967,21.4,2.93,-0.0139,1.0,Stress
3.638,0.754,35.1,2.92,-0.0227,1.1,Stress
1.249,0.255,59.1,1.01,-0.0017,0.96,Baseline
2.067,0.298,48.6,1.24,-0.0042,0.97,Baseline
4.463,0.618,22.4,2.4,-0.0185,1.03,Stress
1.814,0.376,24.4,3.07,-0.0337,1.0,Stress
5.211,1.617,28.9,2.39,0.0314,1.22,Physical_Exertion
5.422,0.843,31.0,5.16,-0.0304,1.22,Stress
1.656,0.223,54.5,0.97,-0.0011,1.02,Baseline
1.041,0.26,50.8,0.76,-0.0009,1.06,Baseline
3.858,0.872,23.6,3.25,-0.0166,1.23,Stress
1.712,0.253,56.0,1.49,-0.0014,1.04,Baseline
4.266,0.787,28.6,2.95,-0.0206,1.07,Stress
8.367,1.496,39.0,1.97,0.0211,3.07,Physical_Exertion
5.551,1.095,24.4,2.66,-0.0282,1.01,Stress
2.298,0.163,61.4,1.04,0.0006,0.94,Baseline
4.602,0.202,26.9,1.82,-0.014,1.13,Stress
5.06,1.104,22.3,3.85,-0.0153,1.03,Stress
5.863,0.579,23.1,2.43,-0.0226,0.94,Stress
7.835,1.122,34.8,1.91,0.0118,2.66,Physical_Exertion
0.844,0.195,41.3,1.7,0.0018,1.01,Baseline
7.896,0.946,36.3,2.3,0.0326,3.26,Physical_Exertion
7.099,1.287,18.8,1.72,0.0288,2.56,Physical_Exertion
1.235,0.393,70.2,1.28,0.0001,0.99,Baseline
1.324,0.206,57.6,0.73,0.0007,0.99,Baseline
0.846,0.131,50.9,1.67,0.0011,0.93,Baseline
2.043,0.076,65.8,0.96,-0.0002,1.07,Baseline
1.156,0.088,49.2,1.41,-0.003,0.86,Baseline
3.959,0.91,35.2,2.52,-0.0221,1.17,Stress
0.865,0.169,56.9,1.23,-0.001,1.0,Baseline
0.556,0.147,59.5,0.81,0.0001,1.02,Baseline
5.486,1.251,24.3,2.1,0.0361,2.59,Physical_Exertion
1.507,0.218,62.1,0.49,0.0023,0.98,Baseline
6.638,1.559,21.0,1.85,0.0271,2.03,Physical_Exertion
2.667,0.131,49.4,1.16,-0.0024,0.98,Baseline
1.959,0.173,54.1,0.94,-0.003,1.02,Baseline
6.606,0.804,29.4,3.22,-0.0263,1.22,Stress
4.743,1.126,23.6,3.89,-0.0161,1.11,Stress
6.351,1.125,41.6,2.27,0.0103,1.83,Physical_Exertion
4.277,0.862,27.7,3.53,-0.0298,1.06,Stress
3.273,1.428,31.2,2.41,0.0214,3.27,Physical_Exertion
2.321,0.247,53.7,1.27,-0.0014,1.04,Baseline
2.625,0.286,47.7,1.21,-0.0026,1.03,Baseline
5.041,0.426,21.0,2.63,-0.0215,0.93,Stress
6.583,1.275,30.4,1.82,0.0405,3.49,Physical_Exertion
5.275,1.016,35.9,2.02,0.0286,2.94,Physical_Exertion
0.845,0.305,55.7,0.98,-0.0002,1.0,Baseline
0.934,0.32,55.4,1.23,0.0019,0.95,Baseline
5.068,0.746,33.1,1.52,-0.0205,0.99,Stress
2.016,0.238,47.9,0.89,-0.0002,0.96,Baseline
7.263,1.089,8.7,2.01,0.0196,1.52,Physical_Exertion
4.144,1.233,42.6,2.36,0.0239,2.77,Physical_Exertion
1.57,0.144,43.5,0.57,-0.0008,1.01,Baseline
4.384,0.717,22.3,3.16,-0.0266,1.13,Stress
3.297,0.65,19.2,2.5,-0.0151,1.1,Stress
2.289,0.242,44.0,1.0,-0.0016,1.07,Baseline
4.205,1.468,39.1,3.11,0.0259,2.93,Physical_Exertion
7.238,0.676,18.8,1.67,-0.0164,0.86,Stress
5.442,1.331,33.5,2.41,0.0322,3.27,Physical_Exertion
1.324,0.146,47.3,1.35,0.0018,1.02,Baseline
7.775,0.847,45.3,2.96,0.0374,3.57,Physical_Exertion
0.972,0.158,47.6,1.32,-0.0021,1.04,Baseline
2.485,0.256,57.8,0.8,-0.0017,1.06,Baseline
7.169,1.188,28.7,1.19,0.0193,3.65,Physical_Exertion
1.16,0.215,65.1,0.72,0.0004,1.05,Baseline
1.806,0.429,38.3,1.42,-0.0003,1.04,Baseline
6.662,0.98,33.8,1.27,0.036,2.68,Physical_Exertion
6.958,1.517,34.9,2.27,0.0212,2.07,Physical_Exertion
5.924,1.087,26.6,2.83,-0.0245,1.17,Stress
5.299,1.188,22.7,2.57,-0.0188,1.11,Stress
1.692,0.13,63.8,1.32,-0.0018,1.07,Baseline
2.385,0.211,55.8,1.27,-0.0017,1.0,Baseline
0.724,0.27,39.4,1.55,-0.0007,0.99,Baseline
3.747,0.742,36.5,1.31,-0.0136,1.08,Stress
3.052,0.585,38.1,2.23,-0.0258,1.16,Stress
4.906,0.612,29.3,2.18,-0.0145,1.16,Stress
5.138,0.872,38.6,2.8,-0.0259,1.09,Stress
2.843,0.119,51.4,1.22,-0.0001,0.95,Baseline
5.846,1.264,29.2,2.26,-0.0277,1.08,Stress
2.352,0.238,55.0,0.92,-0.0022,1.04,Baseline
5.597,0.491,37.5,3.14,-0.013,0.92,Stress
1.117,0.188,60.0,1.64,0.0014,0.99,Baseline
4.46,1.569,24.3,3.01,0.0272,3.45,Physical_Exertion
2.139,0.189,49.8,1.0,0.0009,1.0,Baseline
1.503,0.187,55.8,0.46,0.0009,0.95,Baseline
1.223,0.065,37.1,0.69,-0.0014,1.1,Baseline
3.869,0.836,30.4,2.88,-0.0204,0.93,Stress
6.241,1.161,17.9,2.19,-0.0214,0.95,Stress
2.053,0.142,76.7,1.46,0.0004,1.05,Baseline
2.353,0.155,46.8,1.12,0.0017,1.01,Baseline
2.608,0.639,27.6,2.75,-0.0101,0.91,Stress
2.053,0.319,77.7,0.98,0.001,1.03,Baseline
6.293,1.17,35.5,0.93,0.0368,2.58,Physical_Exertion
4.233,1.209,24.0,2.56,-0.01,0.97,Stress
1.525,0.188,63.4,1.16,-0.0026,0.97,Baseline
1.496,0.194,59.3,1.23,-0.0036,1.05,Baseline
6.379,1.615,35.6,2.75,0.0347,3.31,Physical_Exertion
2.061,0.192,77.7,1.37,0.0011,0.94,Baseline
1.156,0.223,56.5,0.92,0.0003,1.08,Baseline
7.043,0.858,31.1,1.8,0.0261,2.25,Physical_Exertion
5.284,0.823,31.0,1.92,0.0007,3.73,Physical_Exertion
7.633,1.087,32.2,1.61,0.047,3.64,Physical_Exertion
4.688,1.005,29.1,2.0,-0.0221,1.06,Stress
