personnel_id,source_dataset,rank,unit_type,deployment_theatre,annual_fitness_grade,wsi_deterministic,wsi_noise_applied,wsi_score,stress_score,satisfaction_score,sleep_quality_score,fatigue_score,social_support_score,emotional_wellbeing_score,work_life_balance_score,age,service_tenure_years,distance_from_home_station_km,num_dependents,rank_encoded,annual_fitness_grade_encoded,fitness_trend_score,deployment_duration_days,posting_transfer_count_last_2yrs,commute_transit_days,unit_manning_shortfall_pct,promotion_stagnation_years,duty_hours_daily,rest_hours_daily,overtime_hours_monthly,night_shift_frequency_monthly,consecutive_night_duty_days,overtime_flag,daily_workload_score,training_hours_last_year,leave_backlog_days,days_since_last_leave,leave_days_last_90d,absenteeism_hours_last_year,family_separation_months,conduct_flag,body_mass_index,stagnation_per_tenure_ratio,transit_separation_burden,manning_training_ratio,transfer_tenure_friction,manning_absenteeism_load,training_vs_unit_median,absenteeism_vs_rank_median,theatre_Border Outpost (LoC/IB),theatre_J&K (CI/Ops),theatre_LWE / Bastar (Anti-Naxal),theatre_North-East (Counter-Insurgency),theatre_Peace / Training Center,theatre_Static Security / VIP,unit_CoBRA Strike Unit,unit_General Duty (GD),unit_Medical & Logistics,unit_Rapid Action Force (RAF),unit_Signal & IT Wing,unit_VIP Security Wing,welfare_risk_level
CRPF-20260010,HRDataset_v14,Constable,General Duty (GD),LWE / Bastar (Anti-Naxal),SHAPE-2,49.52,-0.12,49.4,2.7,3.3,2.8,6.8,3.8,4.2,3.0,35,5.1,37.0,1,0,1,-1,585,2,1,9.3,5.1,8,7,50,5,9,1,13.4,0,27,190,7,129,6,0,18.8,0.836,1.95,1.86,0.328,12.0,-26.0,121.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
CRPF-20260011,HR_Analytics_15k,Constable,General Duty (GD),LWE / Bastar (Anti-Naxal),SHAPE-2,59.26,-0.5,58.76,8.5,3.4,6.5,5.1,4.2,3.7,3.0,35,3.1,57.3,0,0,1,2,188,0,1,14.7,3.1,14,8,0,12,8,0,7.2,40,50,234,1,3,15,0,25.1,0.756,2.77,0.327,0.0,0.44,14.0,-5.0,0,0,1,0,0,0,0,1,0,0,0,0,High
CRPF-20260012,HR_Analytics_15k,Sub-Inspector,General Duty (GD),Border Outpost (LoC/IB),SHAPE-1,57.22,-0.48,56.74,4.8,2.9,7.2,6.6,3.8,4.5,3.0,30,2.1,45.1,0,3,0,0,485,1,2,27.2,2.1,14,6,0,12,15,0,8.4,60,27,88,3,3,8,1,31.2,0.677,4.39,0.418,0.323,0.82,34.0,-5.0,1,0,0,0,0,0,0,1,0,0,0,0,High
CRPF-20260013,IBM_Attrition,Constable,General Duty (GD),North-East (Counter-Insurgency),SHAPE-1,47.74,2.5,50.24,6.0,2.0,4.0,3.7,2.9,3.4,2.0,45,5.9,88.0,2,0,0,0,569,2,3,20.7,4.1,10,9,0,10,11,0,9.4,5,28,90,4,33,12,0,20.8,0.594,7.69,2.07,0.29,6.83,-21.0,25.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
CRPF-20260014,UCI_Absenteeism,Constable,General Duty (GD),LWE / Bastar (Anti-Naxal),SHAPE-1,53.74,0.54,54.27,5.3,3.1,8.9,5.5,3.7,2.9,1.9,36,10.2,41.5,0,0,0,0,536,0,3,16.6,2.4,8,9,48,11,12,1,6.9,10,38,116,6,8,14,0,28.4,0.214,8.12,1.107,0.0,1.33,-16.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,High
CRPF-20260015,UCI_Absenteeism,Constable,CoBRA Strike Unit,LWE / Bastar (Anti-Naxal),SHAPE-2,43.6,-0.49,43.12,3.9,4.0,7.3,3.3,3.0,3.5,2.9,37,10.2,42.7,0,0,1,0,456,0,3,24.1,6.0,10,5,0,9,11,0,8.8,8,18,83,5,2,9,0,28.4,0.536,6.91,1.854,0.0,0.48,-19.0,-6.0,0,0,1,0,0,0,1,0,0,0,0,0,Medium
CRPF-20260016,HRDataset_v14,Constable,CoBRA Strike Unit,Peace / Training Center,SHAPE-1,47.57,0.32,47.89,1.9,4.0,7.3,4.1,3.3,2.3,3.1,37,10.6,14.0,0,0,0,2,221,1,4,18.4,2.3,10,5,0,8,11,0,6.8,30,54,235,1,31,12,0,24.2,0.198,10.26,0.526,0.086,5.7,3.0,23.0,0,0,0,0,1,0,1,0,0,0,0,0,Medium
CRPF-20260017,UCI_Absenteeism,Constable,General Duty (GD),J&K (CI/Ops),SHAPE-1,42.9,1.65,44.56,5.6,2.3,6.2,5.9,5.0,3.2,2.8,57,15.9,80.4,2,0,0,0,412,1,4,11.6,6.6,8,8,0,11,10,0,6.7,63,46,36,7,8,7,0,22.3,0.391,8.32,0.171,0.059,0.93,37.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
CRPF-20260018,HRDataset_v14,Sub-Inspector,General Duty (GD),North-East (Counter-Insurgency),SHAPE-2,32.42,-0.86,31.56,6.5,4.0,8.0,4.7,4.8,3.6,2.0,49,6.1,21.2,1,3,1,0,275,1,5,19.1,2.7,10,9,0,13,10,0,7.0,3,8,65,6,130,6,0,26.9,0.38,9.73,2.388,0.141,24.83,-23.0,122.0,0,0,0,1,0,0,0,1,0,0,0,0,Low
CRPF-20260019,HRDataset_v14,Sub-Inspector,Rapid Action Force (RAF),LWE / Bastar (Anti-Naxal),SHAPE-2,50.34,1.68,52.03,7.1,4.0,4.8,4.7,2.3,2.6,3.0,50,17.6,50.2,0,3,1,0,567,1,1,18.4,4.0,10,6,0,16,12,0,7.4,43,11,365,4,86,19,0,24.6,0.215,3.0,0.383,0.054,15.82,16.0,78.0,0,0,1,0,0,0,0,0,0,1,0,0,Medium
CRPF-20260020,IBM_Attrition,Head Constable,VIP Security Wing,J&K (CI/Ops),SHAPE-1,63.42,-0.57,62.85,5.6,4.0,6.2,6.9,3.3,3.9,1.9,45,9.7,37.5,1,1,0,-1,125,0,4,15.5,8.9,10,7,59,10,12,1,6.5,17,59,105,1,136,18,0,20.5,0.832,11.78,0.705,0.0,21.08,-12.0,128.0,0,1,0,0,0,0,0,0,0,0,0,1,High
CRPF-20260021,HR_Analytics_15k,Constable,General Duty (GD),North-East (Counter-Insurgency),SHAPE-2,49.54,-1.73,47.81,4.9,3.2,3.4,6.3,4.4,5.0,3.1,39,3.9,74.3,2,0,1,0,373,0,5,11.7,3.9,12,7,0,8,11,0,6.8,0,25,131,6,40,14,0,18.9,0.796,13.54,2.34,0.0,4.68,-26.0,32.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
CRPF-20260022,IBM_Attrition,Head Constable,CoBRA Strike Unit,LWE / Bastar (Anti-Naxal),SHAPE-1,47.3,0.49,47.79,5.1,3.9,6.3,7.8,2.2,2.8,2.9,24,3.0,46.0,2,1,0,0,604,1,4,17.8,3.0,10,8,0,12,11,0,6.2,0,42,74,1,3,8,0,20.8,0.75,8.79,3.56,0.25,0.53,-27.0,-5.0,0,0,1,0,0,0,1,0,0,0,0,0,Medium
CRPF-20260023,IBM_Attrition,Inspector,General Duty (GD),Border Outpost (LoC/IB),SHAPE-3,46.61,0.38,47.0,3.0,3.0,5.2,6.8,4.7,2.7,3.0,35,14.9,36.7,2,4,2,-1,201,1,5,13.2,1.4,10,8,0,6,10,0,6.0,58,43,40,4,2,12,0,27.9,0.088,12.82,0.21,0.063,0.26,32.0,-6.0,1,0,0,0,0,0,0,1,0,0,0,0,Medium
CRPF-20260024,HR_Analytics_15k,Sub-Inspector,General Duty (GD),Border Outpost (LoC/IB),SHAPE-4,42.8,-0.31,42.5,2.6,3.3,6.2,2.4,2.6,3.0,3.0,34,3.0,40.2,4,3,3,-1,565,1,5,25.2,1.9,10,10,0,14,7,0,9.6,0,18,117,3,0,9,0,21.9,0.475,11.51,5.04,0.25,0.0,-26.0,-8.0,1,0,0,0,0,0,0,1,0,0,0,0,Low
CRPF-20260025,UCI_Absenteeism,Constable,General Duty (GD),J&K (CI/Ops),SHAPE-1,44.46,1.43,45.89,9.7,1.6,2.7,6.4,4.2,3.4,2.9,31,12.2,100.0,3,0,0,2,462,1,3,17.7,1.3,16,6,0,11,12,0,7.3,44,11,118,2,80,4,0,25.0,0.098,4.83,0.361,0.076,14.16,18.0,72.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
CRPF-20260026,HRDataset_v14,ASI,General Duty (GD),Border Outpost (LoC/IB),SHAPE-2,40.66,1.34,42.0,4.9,2.4,5.7,7.6,3.0,2.9,3.0,36,7.9,49.7,1,2,1,-1,125,0,4,19.9,3.0,12,8,0,11,10,0,6.9,36,19,63,4,25,6,0,22.4,0.337,7.78,0.485,0.0,4.97,10.0,17.0,1,0,0,0,0,0,0,1,0,0,0,0,Low
CRPF-20260027,HR_Analytics_15k,ASI,Rapid Action Force (RAF),J&K (CI/Ops),SHAPE-2,47.52,-0.85,46.66,8.0,3.2,4.4,4.7,3.9,3.4,2.0,41,5.0,20.0,0,2,1,0,527,3,4,17.9,3.1,8,6,25,6,6,1,11.0,65,27,169,6,95,16,0,28.4,0.517,11.33,0.256,0.5,17.0,38.0,87.0,0,1,0,0,0,0,0,0,0,1,0,0,Medium
CRPF-20260028,HR_Analytics_15k,Sub-Inspector,General Duty (GD),LWE / Bastar (Anti-Naxal),SHAPE-2,56.2,0.03,56.23,6.2,1.3,5.1,2.1,3.4,2.0,3.0,37,4.0,87.5,0,3,1,1,325,2,4,10.6,4.0,10,7,45,8,11,1,13.5,60,17,117,2,153,23,0,18.8,0.8,12.71,0.163,0.4,16.22,34.0,145.0,0,0,1,0,0,0,0,1,0,0,0,0,High
CRPF-20260029,IBM_Attrition,Constable,CoBRA Strike Unit,J&K (CI/Ops),SHAPE-1,66.84,0.83,67.67,6.8,2.0,6.5,4.6,3.7,2.7,2.9,38,10.2,85.3,0,0,0,0,133,2,5,15.5,3.2,16,6,22,7,10,1,8.5,43,60,226,0,3,12,0,24.8,0.286,12.82,0.323,0.179,0.46,16.0,-5.0,0,1,0,0,0,0,1,0,0,0,0,0,High
CRPF-20260030,IBM_Attrition,ASI,General Duty (GD),Border Outpost (LoC/IB),SHAPE-3,50.49,-0.05,50.44,4.8,1.9,5.9,6.4,4.7,4.0,1.9,45,10.0,100.0,2,2,2,-1,652,3,4,15.7,3.0,12,9,62,16,12,1,6.0,31,19,22,2,2,8,0,23.4,0.273,8.79,0.436,0.273,0.31,5.0,-6.0,1,0,0,0,0,0,0,1,0,0,0,0,Medium
CRPF-20260031,HR_Analytics_15k,Head Constable,General Duty (GD),North-East (Counter-Insurgency),SHAPE-2,52.64,-0.32,52.32,4.2,3.5,4.0,4.2,1.9,3.8,3.1,35,3.0,28.1,1,1,1,-1,122,1,5,14.0,2.0,8,7,39,12,6,1,9.8,59,41,124,3,2,24,0,24.8,0.5,16.09,0.219,0.25,0.28,33.0,-6.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
CRPF-20260032,HR_Analytics_15k,Head Constable,General Duty (GD),J&K (CI/Ops),SHAPE-1,53.2,-0.81,52.39,5.8,1.8,4.4,4.5,3.6,1.3,4.0,46,5.9,83.8,0,1,0,-1,246,2,5,37.2,3.3,14,8,0,12,9,0,8.7,14,32,99,5,56,7,0,24.3,0.478,10.4,1.958,0.29,20.83,-12.0,48.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
CRPF-20260033,HRDataset_v14,Constable,Rapid Action Force (RAF),Static Security / VIP,SHAPE-2,42.36,0.79,43.15,4.5,3.0,8.1,3.8,3.4,4.5,3.0,56,18.6,51.7,0,0,1,0,447,3,3,16.3,3.1,12,6,0,10,11,0,7.2,1,29,160,6,24,3,0,25.4,0.158,4.16,2.717,0.153,3.91,-26.0,16.0,0,0,0,0,0,1,0,0,0,1,0,0,Medium
CRPF-20260034,IBM_Attrition,ASI,General Duty (GD),Border Outpost (LoC/IB),SHAPE-1,37.13,-0.47,36.66,5.3,1.0,6.8,5.1,3.2,3.2,2.9,54,33.3,9.1,2,2,0,1,379,0,5,31.3,1.5,8,7,0,8,8,0,6.0,70,23,29,5,2,20,0,24.6,0.044,15.22,0.417,0.0,0.63,44.0,-6.0,1,0,0,0,0,0,0,1,0,0,0,0,Low
CRPF-20260035,IBM_Attrition,Constable,CoBRA Strike Unit,Static Security / VIP,SHAPE-1,40.7,-1.05,39.65,7.3,3.9,4.2,6.6,3.3,3.0,2.1,32,9.8,4.3,4,0,0,0,462,0,4,12.9,3.0,8,10,63,11,12,1,6.0,72,23,188,4,3,4,0,21.1,0.278,6.44,0.168,0.0,0.39,45.0,-5.0,0,0,0,0,0,1,1,0,0,0,0,0,Low
CRPF-20260036,IBM_Attrition,Constable,General Duty (GD),Border Outpost (LoC/IB),SHAPE-1,49.01,-1.58,47.43,5.1,1.0,5.4,4.8,3.0,4.0,3.0,41,5.1,62.6,0,0,0,0,344,0,4,17.9,1.6,10,5,0,12,10,0,6.0,11,21,156,0,4,22,0,29.1,0.262,12.54,1.119,0.0,0.72,-15.0,-4.0,1,0,0,0,0,0,0,1,0,0,0,0,Medium
CRPF-20260037,UCI_Absenteeism,Inspector,General Duty (GD),LWE / Bastar (Anti-Naxal),SHAPE-3,58.04,-1.97,56.07,6.3,3.9,3.4,6.8,3.6,4.5,2.9,38,9.7,41.9,0,4,2,0,266,2,1,11.3,1.5,12,7,0,7,12,0,7.7,38,51,123,4,4,20,0,27.6,0.14,3.04,0.263,0.187,0.45,12.0,-4.0,0,0,1,0,0,0,0,1,0,0,0,0,High
CRPF-20260038,HR_Analytics_15k,Constable,CoBRA Strike Unit,Peace / Training Center,SHAPE-1,38.5,-1.68,36.82,5.8,1.6,5.5,6.2,2.2,3.5,2.0,43,5.0,84.6,1,0,0,0,633,3,2,12.4,1.9,10,6,0,10,3,0,6.7,0,7,60,5,32,18,1,24.8,0.317,5.89,2.48,0.5,3.97,-27.0,24.0,0,0,0,0,1,0,1,0,0,0,0,0,Low
CRPF-20260039,HRDataset_v14,ASI,General Duty (GD),J&K (CI/Ops),SHAPE-1,54.68,0.54,55.21,4.4,3.9,5.4,4.0,4.4,3.7,2.9,33,3.6,20.5,0,2,0,-2,340,1,5,9.0,3.6,12,7,0,9,8,0,7.1,0,57,247,2,121,13,0,24.9,0.783,13.2,1.8,0.217,10.89,-26.0,113.0,0,1,0,0,0,0,0,1,0,0,0,0,High
CRPF-20260040,HR_Analytics_15k,Constable,VIP Security Wing,North-East (Counter-Insurgency),SHAPE-1,40.45,0.73,41.18,7.5,2.6,4.7,2.5,3.8,3.4,3.1,29,2.0,41.0,1,0,0,1,226,0,2,25.6,2.0,8,6,25,11,10,1,11.9,12,22,58,7,16,8,0,31.7,0.667,4.39,1.506,0.0,4.1,-17.0,8.0,0,0,0,1,0,0,0,0,0,0,0,1,Low
CRPF-20260041,IBM_Attrition,ASI,General Duty (GD),J&K (CI/Ops),SHAPE-1,44.02,1.31,45.32,6.2,4.0,4.9,6.9,3.3,2.6,4.0,20,0.5,13.4,1,2,0,0,665,1,4,16.5,0.5,12,8,29,12,11,1,6.0,60,9,44,3,124,24,0,24.5,0.333,12.88,0.254,0.667,20.46,34.0,116.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
CRPF-20260042,IBM_Attrition,Head Constable,General Duty (GD),LWE / Bastar (Anti-Naxal),SHAPE-2,56.04,-1.0,55.04,2.7,2.9,6.2,2.9,3.0,3.3,3.1,35,16.7,100.0,1,1,1,0,637,1,3,20.7,4.2,8,5,0,10,13,0,8.9,15,37,124,0,0,15,0,29.3,0.237,8.32,1.035,0.056,0.0,-11.0,-8.0,0,0,1,0,0,0,0,1,0,0,0,0,High
CRPF-20260043,IBM_Attrition,Constable,General Duty (GD),North-East (Counter-Insurgency),SHAPE-1,37.25,-2.13,35.12,2.1,1.0,5.1,3.2,3.5,3.8,3.0,53,15.6,12.8,2,0,0,2,125,2,5,14.8,4.7,10,9,0,10,6,0,7.7,17,25,136,4,3,11,0,25.5,0.283,12.42,0.673,0.12,0.44,-9.0,-5.0,0,0,0,1,0,0,0,1,0,0,0,0,Low
CRPF-20260044,IBM_Attrition,Constable,CoBRA Strike Unit,North-East (Counter-Insurgency),SHAPE-1,48.08,0.23,48.31,4.9,2.9,8.8,4.9,2.4,4.0,3.0,29,1.0,14.0,0,0,0,-2,387,3,2,18.3,1.0,12,7,0,13,9,0,6.0,59,19,191,4,2,21,0,23.8,0.5,6.18,0.286,1.5,0.37,32.0,-6.0,0,0,0,1,0,0,1,0,0,0,0,0,Medium
CRPF-20260045,IBM_Attrition,Constable,Medical & Logistics,Static Security / VIP,SHAPE-3,26.86,2.25,29.11,3.9,3.0,4.1,5.4,3.9,3.5,4.0,29,6.2,4.5,0,0,2,1,520,4,4,12.0,4.4,10,6,0,7,4,0,6.0,11,22,70,7,2,4,0,25.2,0.611,6.44,0.75,0.556,0.24,-18.0,-6.0,0,0,0,0,0,1,0,0,1,0,0,0,Low
CRPF-20260046,IBM_Attrition,Head Constable,General Duty (GD),LWE / Bastar (Anti-Naxal),SHAPE-4,57.65,-0.54,57.11,5.2,3.1,6.4,6.4,3.7,3.8,3.1,23,1.9,43.3,0,1,3,0,133,3,3,9.6,1.9,12,6,0,16,15,0,6.0,36,60,53,3,123,18,0,22.9,0.655,8.83,0.234,1.034,11.81,10.0,115.0,0,0,1,0,0,0,0,1,0,0,0,0,High
CRPF-20260047,UCI_Absenteeism,ASI,General Duty (GD),Border Outpost (LoC/IB),SHAPE-1,53.21,0.02,53.24,4.1,3.3,4.5,4.6,3.3,4.3,1.9,48,14.3,87.6,2,2,0,0,252,0,3,16.7,7.9,8,7,0,17,10,0,6.4,19,34,175,2,3,17,0,32.5,0.516,8.67,0.696,0.0,0.5,-7.0,-5.0,1,0,0,0,0,0,0,1,0,0,0,0,High
CRPF-20260048,UCI_Absenteeism,Head Constable,General Duty (GD),Peace / Training Center,SHAPE-2,42.7,0.49,43.19,5.7,3.2,4.4,2.5,4.1,2.5,3.0,51,17.6,41.7,1,1,1,-2,621,2,1,20.7,5.8,12,6,59,8,5,1,8.4,24,23,38,4,1,3,0,30.5,0.312,1.39,0.714,0.108,0.21,-2.0,-7.0,0,0,0,0,1,0,0,1,0,0,0,0,Medium
CRPF-20260049,HR_Analytics_15k,Constable,General Duty (GD),North-East (Counter-Insurgency),SHAPE-1,43.68,-0.48,43.19,2.6,2.9,8.9,3.8,5.0,3.2,3.1,28,2.1,64.2,1,0,0,-2,425,1,1,11.6,2.1,8,6,0,10,11,0,7.2,0,31,167,5,1,7,0,22.7,0.677,2.08,2.32,0.323,0.12,-26.0,-7.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
CRPF-20260050,HRDataset_v14,Head Constable,General Duty (GD),LWE / Bastar (Anti-Naxal),SHAPE-1,53.24,-1.77,51.46,4.4,2.4,6.5,5.1,3.7,3.6,2.0,36,9.8,84.1,1,1,0,-1,367,1,2,19.7,8.1,8,6,41,10,10,1,14.7,0,27,106,3,16,7,0,31.3,0.75,4.16,3.94,0.093,3.15,-26.0,8.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
CRPF-20260051,UCI_Absenteeism,Constable,General Duty (GD),J&K (CI/Ops),SHAPE-1,55.27,1.0,56.27,6.4,3.5,5.8,6.2,3.7,3.5,3.0,39,17.2,62.7,0,0,0,-1,321,3,2,28.7,3.4,10,9,0,11,12,0,9.8,44,41,94,2,1,11,0,31.9,0.187,4.97,0.586,0.165,0.29,18.0,-7.0,0,1,0,0,0,0,0,1,0,0,0,0,High
CRPF-20260052,HR_Analytics_15k,Constable,General Duty (GD),J&K (CI/Ops),SHAPE-2,51.19,0.53,51.72,7.1,2.5,6.4,4.1,4.0,3.2,3.2,35,2.9,64.4,1,0,1,-1,223,0,2,27.5,2.2,12,8,42,13,10,1,10.5,48,23,79,5,132,5,0,22.0,0.564,3.58,0.519,0.0,36.3,22.0,124.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
CRPF-20260053,IBM_Attrition,ASI,General Duty (GD),Peace / Training Center,SHAPE-2,43.2,-2.32,40.88,5.1,4.0,3.8,5.8,4.3,3.3,3.0,43,10.2,9.1,0,2,1,0,600,2,4,22.8,8.7,12,7,54,8,5,1,7.8,48,24,78,0,159,5,0,25.0,0.777,7.17,0.43,0.179,36.25,22.0,151.0,0,0,0,0,1,0,0,1,0,0,0,0,Low
CRPF-20260054,IBM_Attrition,ASI,General Duty (GD),LWE / Bastar (Anti-Naxal),SHAPE-1,28.13,0.18,28.31,5.5,1.9,7.1,3.5,4.3,1.9,2.9,37,5.1,39.7,0,2,0,-1,492,0,4,12.6,0.5,8,9,0,15,8,0,6.0,59,6,85,6,8,5,0,23.1,0.082,7.17,0.197,0.0,1.01,33.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,Low
CRPF-20260055,UCI_Absenteeism,ASI,General Duty (GD),North-East (Counter-Insurgency),SHAPE-1,43.8,-1.57,42.22,3.8,4.0,2.8,3.7,3.5,5.0,4.0,36,11.2,89.0,4,2,0,-1,594,1,4,15.1,8.8,8,5,0,10,8,0,7.5,65,30,118,1,3,7,0,22.4,0.721,8.32,0.216,0.082,0.45,39.0,-5.0,0,0,0,1,0,0,0,1,0,0,0,0,Low
CRPF-20260056,IBM_Attrition,ASI,General Duty (GD),Static Security / VIP,SHAPE-2,31.9,-0.49,31.4,7.0,3.9,8.0,4.2,4.6,3.3,3.1,40,11.8,4.5,2,2,1,-1,352,1,1,14.0,3.5,8,5,0,8,10,0,6.0,0,24,27,3,1,6,0,30.8,0.273,1.95,2.8,0.078,0.14,-26.0,-7.0,0,0,0,0,0,1,0,1,0,0,0,0,Low
CRPF-20260057,IBM_Attrition,Constable,General Duty (GD),Static Security / VIP,SHAPE-1,29.91,-0.86,29.05,7.4,1.0,6.9,2.9,3.6,4.6,4.0,51,33.0,13.1,1,0,0,0,59,1,5,9.2,7.6,8,7,0,5,8,0,6.0,36,15,122,4,0,5,0,35.4,0.224,8.96,0.224,0.029,0.0,10.0,-8.0,0,0,0,0,0,1,0,1,0,0,0,0,Low
