age,service_tenure_years,distance_from_home_station_km,num_dependents,rank_encoded,annual_fitness_grade_encoded,fitness_trend_score,deployment_duration_days,posting_transfer_count_last_2yrs,commute_transit_days,unit_manning_shortfall_pct,promotion_stagnation_years,duty_hours_daily,rest_hours_daily,overtime_hours_monthly,night_shift_frequency_monthly,consecutive_night_duty_days,overtime_flag,daily_workload_score,training_hours_last_year,leave_backlog_days,days_since_last_leave,leave_days_last_90d,absenteeism_hours_last_year,family_separation_months,conduct_flag,body_mass_index,stagnation_per_tenure_ratio,transit_separation_burden,manning_training_ratio,transfer_tenure_friction,manning_absenteeism_load,training_vs_unit_median,absenteeism_vs_rank_median,theatre_Border Outpost (LoC/IB),theatre_J&K (CI/Ops),theatre_LWE / Bastar (Anti-Naxal),theatre_North-East (Counter-Insurgency),theatre_Peace / Training Center,theatre_Static Security / VIP,unit_CoBRA Strike Unit,unit_General Duty (GD),unit_Medical & Logistics,unit_Rapid Action Force (RAF),unit_Signal & IT Wing,unit_VIP Security Wing,welfare_risk_level
35,5.1,37.0,1,0,1,-1,585,2,1,9.3,5.1,8,7,50,5,9,1,13.4,0,27,190,7,129,6,0,18.8,0.836,1.95,1.86,0.328,12.0,-26.0,121.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
35,3.1,57.3,0,0,1,2,188,0,1,14.7,3.1,14,8,0,12,8,0,7.2,40,50,234,1,3,15,0,25.1,0.756,2.77,0.327,0.0,0.44,14.0,-5.0,0,0,1,0,0,0,0,1,0,0,0,0,High
30,2.1,45.1,0,3,0,0,485,1,2,27.2,2.1,14,6,0,12,15,0,8.4,60,27,88,3,3,8,1,31.2,0.677,4.39,0.418,0.323,0.82,34.0,-5.0,1,0,0,0,0,0,0,1,0,0,0,0,High
45,5.9,88.0,2,0,0,0,569,2,3,20.7,4.1,10,9,0,10,11,0,9.4,5,28,90,4,33,12,0,20.8,0.594,7.69,2.07,0.29,6.83,-21.0,25.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
36,10.2,41.5,0,0,0,0,536,0,3,16.6,2.4,8,9,48,11,12,1,6.9,10,38,116,6,8,14,0,28.4,0.214,8.12,1.107,0.0,1.33,-16.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,High
37,10.2,42.7,0,0,1,0,456,0,3,24.1,6.0,10,5,0,9,11,0,8.8,8,18,83,5,2,9,0,28.4,0.536,6.91,1.854,0.0,0.48,-19.0,-6.0,0,0,1,0,0,0,1,0,0,0,0,0,Medium
37,10.6,14.0,0,0,0,2,221,1,4,18.4,2.3,10,5,0,8,11,0,6.8,30,54,235,1,31,12,0,24.2,0.198,10.26,0.526,0.086,5.7,3.0,23.0,0,0,0,0,1,0,1,0,0,0,0,0,Medium
57,15.9,80.4,2,0,0,0,412,1,4,11.6,6.6,8,8,0,11,10,0,6.7,63,46,36,7,8,7,0,22.3,0.391,8.32,0.171,0.059,0.93,37.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
49,6.1,21.2,1,3,1,0,275,1,5,19.1,2.7,10,9,0,13,10,0,7.0,3,8,65,6,130,6,0,26.9,0.38,9.73,2.388,0.141,24.83,-23.0,122.0,0,0,0,1,0,0,0,1,0,0,0,0,Low
50,17.6,50.2,0,3,1,0,567,1,1,18.4,4.0,10,6,0,16,12,0,7.4,43,11,365,4,86,19,0,24.6,0.215,3.0,0.383,0.054,15.82,16.0,78.0,0,0,1,0,0,0,0,0,0,1,0,0,Medium
45,9.7,37.5,1,1,0,-1,125,0,4,15.5,8.9,10,7,59,10,12,1,6.5,17,59,105,1,136,18,0,20.5,0.832,11.78,0.705,0.0,21.08,-12.0,128.0,0,1,0,0,0,0,0,0,0,0,0,1,High
39,3.9,74.3,2,0,1,0,373,0,5,11.7,3.9,12,7,0,8,11,0,6.8,0,25,131,6,40,14,0,18.9,0.796,13.54,2.34,0.0,4.68,-26.0,32.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
24,3.0,46.0,2,1,0,0,604,1,4,17.8,3.0,10,8,0,12,11,0,6.2,0,42,74,1,3,8,0,20.8,0.75,8.79,3.56,0.25,0.53,-27.0,-5.0,0,0,1,0,0,0,1,0,0,0,0,0,Medium
35,14.9,36.7,2,4,2,-1,201,1,5,13.2,1.4,10,8,0,6,10,0,6.0,58,43,40,4,2,12,0,27.9,0.088,12.82,0.21,0.063,0.26,32.0,-6.0,1,0,0,0,0,0,0,1,0,0,0,0,Medium
34,3.0,40.2,4,3,3,-1,565,1,5,25.2,1.9,10,10,0,14,7,0,9.6,0,18,117,3,0,9,0,21.9,0.475,11.51,5.04,0.25,0.0,-26.0,-8.0,1,0,0,0,0,0,0,1,0,0,0,0,Low
31,12.2,100.0,3,0,0,2,462,1,3,17.7,1.3,16,6,0,11,12,0,7.3,44,11,118,2,80,4,0,25.0,0.098,4.83,0.361,0.076,14.16,18.0,72.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
36,7.9,49.7,1,2,1,-1,125,0,4,19.9,3.0,12,8,0,11,10,0,6.9,36,19,63,4,25,6,0,22.4,0.337,7.78,0.485,0.0,4.97,10.0,17.0,1,0,0,0,0,0,0,1,0,0,0,0,Low
41,5.0,20.0,0,2,1,0,527,3,4,17.9,3.1,8,6,25,6,6,1,11.0,65,27,169,6,95,16,0,28.4,0.517,11.33,0.256,0.5,17.0,38.0,87.0,0,1,0,0,0,0,0,0,0,1,0,0,Medium
37,4.0,87.5,0,3,1,1,325,2,4,10.6,4.0,10,7,45,8,11,1,13.5,60,17,117,2,153,23,0,18.8,0.8,12.71,0.163,0.4,16.22,34.0,145.0,0,0,1,0,0,0,0,1,0,0,0,0,High
38,10.2,85.3,0,0,0,0,133,2,5,15.5,3.2,16,6,22,7,10,1,8.5,43,60,226,0,3,12,0,24.8,0.286,12.82,0.323,0.179,0.46,16.0,-5.0,0,1,0,0,0,0,1,0,0,0,0,0,High
45,10.0,100.0,2,2,2,-1,652,3,4,15.7,3.0,12,9,62,16,12,1,6.0,31,19,22,2,2,8,0,23.4,0.273,8.79,0.436,0.273,0.31,5.0,-6.0,1,0,0,0,0,0,0,1,0,0,0,0,Medium
35,3.0,28.1,1,1,1,-1,122,1,5,14.0,2.0,8,7,39,12,6,1,9.8,59,41,124,3,2,24,0,24.8,0.5,16.09,0.219,0.25,0.28,33.0,-6.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
46,5.9,83.8,0,1,0,-1,246,2,5,37.2,3.3,14,8,0,12,9,0,8.7,14,32,99,5,56,7,0,24.3,0.478,10.4,1.958,0.29,20.83,-12.0,48.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
56,18.6,51.7,0,0,1,0,447,3,3,16.3,3.1,12,6,0,10,11,0,7.2,1,29,160,6,24,3,0,25.4,0.158,4.16,2.717,0.153,3.91,-26.0,16.0,0,0,0,0,0,1,0,0,0,1,0,0,Medium
54,33.3,9.1,2,2,0,1,379,0,5,31.3,1.5,8,7,0,8,8,0,6.0,70,23,29,5,2,20,0,24.6,0.044,15.22,0.417,0.0,0.63,44.0,-6.0,1,0,0,0,0,0,0,1,0,0,0,0,Low
32,9.8,4.3,4,0,0,0,462,0,4,12.9,3.0,8,10,63,11,12,1,6.0,72,23,188,4,3,4,0,21.1,0.278,6.44,0.168,0.0,0.39,45.0,-5.0,0,0,0,0,0,1,1,0,0,0,0,0,Low
41,5.1,62.6,0,0,0,0,344,0,4,17.9,1.6,10,5,0,12,10,0,6.0,11,21,156,0,4,22,0,29.1,0.262,12.54,1.119,0.0,0.72,-15.0,-4.0,1,0,0,0,0,0,0,1,0,0,0,0,Medium
38,9.7,41.9,0,4,2,0,266,2,1,11.3,1.5,12,7,0,7,12,0,7.7,38,51,123,4,4,20,0,27.6,0.14,3.04,0.263,0.187,0.45,12.0,-4.0,0,0,1,0,0,0,0,1,0,0,0,0,High
43,5.0,84.6,1,0,0,0,633,3,2,12.4,1.9,10,6,0,10,3,0,6.7,0,7,60,5,32,18,1,24.8,0.317,5.89,2.48,0.5,3.97,-27.0,24.0,0,0,0,0,1,0,1,0,0,0,0,0,Low
33,3.6,20.5,0,2,0,-2,340,1,5,9.0,3.6,12,7,0,9,8,0,7.1,0,57,247,2,121,13,0,24.9,0.783,13.2,1.8,0.217,10.89,-26.0,113.0,0,1,0,0,0,0,0,1,0,0,0,0,High
29,2.0,41.0,1,0,0,1,226,0,2,25.6,2.0,8,6,25,11,10,1,11.9,12,22,58,7,16,8,0,31.7,0.667,4.39,1.506,0.0,4.1,-17.0,8.0,0,0,0,1,0,0,0,0,0,0,0,1,Low
20,0.5,13.4,1,2,0,0,665,1,4,16.5,0.5,12,8,29,12,11,1,6.0,60,9,44,3,124,24,0,24.5,0.333,12.88,0.254,0.667,20.46,34.0,116.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
35,16.7,100.0,1,1,1,0,637,1,3,20.7,4.2,8,5,0,10,13,0,8.9,15,37,124,0,0,15,0,29.3,0.237,8.32,1.035,0.056,0.0,-11.0,-8.0,0,0,1,0,0,0,0,1,0,0,0,0,High
53,15.6,12.8,2,0,0,2,125,2,5,14.8,4.7,10,9,0,10,6,0,7.7,17,25,136,4,3,11,0,25.5,0.283,12.42,0.673,0.12,0.44,-9.0,-5.0,0,0,0,1,0,0,0,1,0,0,0,0,Low
29,1.0,14.0,0,0,0,-2,387,3,2,18.3,1.0,12,7,0,13,9,0,6.0,59,19,191,4,2,21,0,23.8,0.5,6.18,0.286,1.5,0.37,32.0,-6.0,0,0,0,1,0,0,1,0,0,0,0,0,Medium
29,6.2,4.5,0,0,2,1,520,4,4,12.0,4.4,10,6,0,7,4,0,6.0,11,22,70,7,2,4,0,25.2,0.611,6.44,0.75,0.556,0.24,-18.0,-6.0,0,0,0,0,0,1,0,0,1,0,0,0,Low
23,1.9,43.3,0,1,3,0,133,3,3,9.6,1.9,12,6,0,16,15,0,6.0,36,60,53,3,123,18,0,22.9,0.655,8.83,0.234,1.034,11.81,10.0,115.0,0,0,1,0,0,0,0,1,0,0,0,0,High
48,14.3,87.6,2,2,0,0,252,0,3,16.7,7.9,8,7,0,17,10,0,6.4,19,34,175,2,3,17,0,32.5,0.516,8.67,0.696,0.0,0.5,-7.0,-5.0,1,0,0,0,0,0,0,1,0,0,0,0,High
51,17.6,41.7,1,1,1,-2,621,2,1,20.7,5.8,12,6,59,8,5,1,8.4,24,23,38,4,1,3,0,30.5,0.312,1.39,0.714,0.108,0.21,-2.0,-7.0,0,0,0,0,1,0,0,1,0,0,0,0,Medium
28,2.1,64.2,1,0,0,-2,425,1,1,11.6,2.1,8,6,0,10,11,0,7.2,0,31,167,5,1,7,0,22.7,0.677,2.08,2.32,0.323,0.12,-26.0,-7.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
36,9.8,84.1,1,1,0,-1,367,1,2,19.7,8.1,8,6,41,10,10,1,14.7,0,27,106,3,16,7,0,31.3,0.75,4.16,3.94,0.093,3.15,-26.0,8.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
39,17.2,62.7,0,0,0,-1,321,3,2,28.7,3.4,10,9,0,11,12,0,9.8,44,41,94,2,1,11,0,31.9,0.187,4.97,0.586,0.165,0.29,18.0,-7.0,0,1,0,0,0,0,0,1,0,0,0,0,High
35,2.9,64.4,1,0,1,-1,223,0,2,27.5,2.2,12,8,42,13,10,1,10.5,48,23,79,5,132,5,0,22.0,0.564,3.58,0.519,0.0,36.3,22.0,124.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
43,10.2,9.1,0,2,1,0,600,2,4,22.8,8.7,12,7,54,8,5,1,7.8,48,24,78,0,159,5,0,25.0,0.777,7.17,0.43,0.179,36.25,22.0,151.0,0,0,0,0,1,0,0,1,0,0,0,0,Low
37,5.1,39.7,0,2,0,-1,492,0,4,12.6,0.5,8,9,0,15,8,0,6.0,59,6,85,6,8,5,0,23.1,0.082,7.17,0.197,0.0,1.01,33.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,Low
36,11.2,89.0,4,2,0,-1,594,1,4,15.1,8.8,8,5,0,10,8,0,7.5,65,30,118,1,3,7,0,22.4,0.721,8.32,0.216,0.082,0.45,39.0,-5.0,0,0,0,1,0,0,0,1,0,0,0,0,Low
40,11.8,4.5,2,2,1,-1,352,1,1,14.0,3.5,8,5,0,8,10,0,6.0,0,24,27,3,1,6,0,30.8,0.273,1.95,2.8,0.078,0.14,-26.0,-7.0,0,0,0,0,0,1,0,1,0,0,0,0,Low
51,33.0,13.1,1,0,0,0,59,1,5,9.2,7.6,8,7,0,5,8,0,6.0,36,15,122,4,0,5,0,35.4,0.224,8.96,0.224,0.029,0.0,10.0,-8.0,0,0,0,0,0,1,0,1,0,0,0,0,Low
30,2.0,19.9,0,0,1,0,288,1,5,18.8,2.0,10,7,0,4,7,0,6.3,17,24,223,6,104,24,0,30.5,0.667,16.09,0.855,0.333,19.55,-9.0,96.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
47,13.6,91.0,2,0,0,2,241,1,2,9.7,1.0,12,6,0,16,12,0,9.6,0,28,138,4,3,11,0,31.0,0.068,4.97,1.94,0.068,0.29,-27.0,-5.0,0,0,0,1,0,0,0,0,0,0,1,0,Medium
38,9.9,48.9,0,1,0,1,505,0,3,10.0,3.9,14,8,29,11,7,1,6.0,29,28,170,5,3,15,0,22.1,0.358,8.32,0.294,0.0,0.3,2.0,-5.0,0,0,0,0,1,0,1,0,0,0,0,0,Medium
35,8.5,28.2,1,0,0,0,419,0,4,16.6,4.0,14,8,0,8,7,0,6.8,28,8,102,4,84,8,0,31.6,0.421,8.79,0.503,0.0,13.94,1.0,76.0,0,0,0,0,1,0,0,0,0,0,1,0,Low
46,23.9,18.2,2,0,0,-2,315,1,1,19.3,4.5,10,6,0,9,9,0,6.0,46,27,137,3,104,8,0,28.2,0.181,2.2,0.378,0.04,20.07,20.0,96.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
48,30.0,88.9,0,4,0,1,140,0,1,26.3,6.5,12,5,53,9,5,1,8.1,25,12,189,5,8,12,0,24.3,0.21,2.56,0.877,0.0,2.1,-2.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,High
37,4.0,83.7,0,0,2,2,605,0,5,15.9,4.0,14,6,57,7,9,1,13.1,3,35,120,3,0,11,0,30.9,0.8,12.42,1.988,0.0,0.0,-23.0,-8.0,0,0,0,0,0,1,0,1,0,0,0,0,High
38,7.6,37.1,1,0,0,-2,198,0,5,24.2,2.3,10,6,0,11,12,0,7.1,0,23,159,4,34,6,0,22.3,0.267,9.73,4.84,0.0,8.23,-26.0,26.0,0,0,0,0,0,1,0,1,0,0,0,0,Low
34,5.9,4.6,0,0,1,1,402,1,4,14.9,3.6,10,7,62,8,15,1,6.0,41,21,60,3,1,7,0,23.5,0.522,8.32,0.324,0.145,0.15,15.0,-7.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
25,4.8,13.5,0,0,0,0,212,1,4,11.3,4.8,14,8,25,8,6,1,6.0,29,34,128,5,8,16,0,25.2,0.828,11.33,0.332,0.172,0.9,3.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
33,3.0,44.0,0,0,0,-1,300,1,4,17.7,2.0,8,6,28,12,9,1,10.0,16,49,103,4,54,9,1,37.3,0.5,9.21,0.843,0.25,9.56,-11.0,46.0,0,0,0,1,0,0,1,0,0,0,0,0,High
38,4.1,41.2,2,3,0,0,405,0,5,19.9,0.9,12,9,18,11,12,1,10.6,14,26,87,4,8,10,0,30.6,0.176,11.99,1.047,0.0,1.59,-12.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
42,7.8,9.2,1,1,0,-1,430,1,3,10.3,2.6,12,6,18,13,7,1,8.6,6,31,268,5,3,4,0,20.8,0.295,4.83,0.936,0.114,0.31,-21.0,-5.0,0,0,1,0,0,0,1,0,0,0,0,0,Medium
39,3.8,55.9,1,1,1,-1,672,3,3,8.2,0.8,10,7,54,13,12,1,11.7,6,38,38,7,2,16,0,26.3,0.167,8.5,0.745,0.625,0.16,-20.0,-6.0,1,0,0,0,0,0,0,1,0,0,0,0,High
34,3.1,47.5,2,3,0,0,254,2,5,13.7,3.1,16,6,0,10,10,0,6.6,6,33,245,2,135,9,0,31.0,0.756,11.51,1.245,0.488,18.5,-21.0,127.0,0,0,0,0,1,0,1,0,0,0,0,0,Medium
43,4.8,28.7,0,0,0,0,481,0,5,14.7,4.8,12,8,0,10,11,0,6.1,31,24,286,1,127,5,0,25.7,0.828,8.96,0.408,0.0,18.67,4.0,119.0,0,0,0,0,1,0,0,0,0,1,0,0,Low
43,16.5,88.6,0,0,0,0,86,0,5,20.7,2.9,14,5,0,9,14,0,6.7,0,12,140,0,8,16,0,22.8,0.166,14.17,4.14,0.0,1.66,-26.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,High
38,17.6,64.3,0,2,0,0,251,2,2,11.5,3.5,10,6,0,9,7,0,8.9,3,39,231,5,1,14,0,30.8,0.188,5.42,1.438,0.108,0.12,-26.0,-7.0,0,0,1,0,0,0,0,0,1,0,0,0,Medium
38,9.7,40.9,0,0,0,0,578,1,4,12.0,2.6,14,6,0,10,12,0,6.8,13,50,52,0,1,17,0,27.2,0.243,11.56,0.667,0.093,0.12,-13.0,-7.0,0,1,0,0,0,0,0,1,0,0,0,0,High
34,3.0,52.3,4,1,0,-2,522,1,5,24.5,2.9,10,6,0,11,10,0,6.4,0,13,34,9,1,24,1,30.9,0.725,16.09,4.9,0.25,0.24,-29.0,-7.0,0,1,0,0,0,0,0,0,1,0,0,0,Medium
28,8.8,81.5,1,0,1,0,556,0,1,11.8,2.3,12,7,0,5,7,0,9.6,65,20,134,4,2,16,0,24.3,0.235,2.83,0.169,0.0,0.24,39.0,-6.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
32,9.8,100.0,1,0,0,0,654,2,5,13.1,6.6,8,7,0,5,5,0,6.0,44,42,139,7,8,8,0,23.7,0.611,10.99,0.267,0.185,1.05,18.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,Low
30,7.1,91.4,2,0,1,0,108,0,3,15.4,4.6,12,8,0,5,4,0,7.8,30,60,100,3,8,18,0,30.3,0.568,8.83,0.44,0.0,1.23,3.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,High
33,12.4,99.7,2,0,1,1,445,2,1,36.6,5.8,10,8,0,19,9,0,7.6,3,21,118,5,8,13,0,28.7,0.433,2.64,4.575,0.149,2.93,-24.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,Medium
37,4.2,11.1,0,1,0,0,319,2,2,32.8,2.8,8,7,0,11,11,0,6.6,5,19,123,3,2,10,0,30.2,0.538,4.8,3.28,0.385,0.66,-21.0,-6.0,0,0,0,0,1,0,0,1,0,0,0,0,Low
53,17.6,19.8,0,2,1,0,542,3,4,10.2,2.1,16,6,0,6,8,0,7.0,39,34,54,1,132,9,0,31.4,0.113,9.21,0.232,0.161,13.46,13.0,124.0,1,0,0,0,0,0,0,1,0,0,0,0,Medium
32,11.6,100.0,3,0,1,-1,603,1,4,15.6,4.5,10,4,0,16,15,0,7.1,68,60,213,2,8,11,0,25.0,0.357,9.94,0.214,0.079,1.25,42.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,High
28,3.9,79.5,0,0,0,-1,130,2,3,24.9,3.9,8,9,60,11,9,1,6.1,31,31,106,1,32,12,0,23.6,0.796,7.69,0.692,0.408,7.97,4.0,24.0,0,1,0,0,0,0,1,0,0,0,0,0,High
38,4.1,6.6,1,0,1,0,635,2,1,26.9,4.1,8,6,0,13,12,0,6.0,36,24,94,7,2,24,0,19.0,0.804,3.22,0.656,0.392,0.54,9.0,-6.0,0,1,0,0,0,0,1,0,0,0,0,0,Medium
47,14.2,4.5,0,0,0,1,196,2,1,26.6,0.9,12,8,0,13,12,0,7.6,0,44,75,2,8,8,0,30.2,0.059,2.2,5.32,0.132,2.13,-27.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,Medium
41,10.3,31.7,2,0,0,0,200,0,5,37.8,3.2,8,5,33,10,10,1,8.6,0,60,47,1,8,2,0,28.8,0.283,5.49,7.56,0.0,3.02,-26.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,Medium
38,3.9,14.1,0,2,0,0,141,0,1,17.9,3.6,12,7,0,14,11,0,7.0,42,50,101,2,153,12,0,21.8,0.735,2.56,0.381,0.0,27.39,15.0,145.0,0,1,0,0,0,0,0,0,0,0,1,0,Medium
38,10.1,96.3,4,2,1,0,650,1,3,12.6,4.9,8,9,0,11,11,0,8.2,68,39,154,3,63,24,0,19.6,0.441,9.66,0.173,0.09,7.94,41.0,55.0,0,0,0,1,0,0,1,0,0,0,0,0,High
32,10.0,92.9,0,2,1,-1,504,1,3,13.7,2.8,14,8,26,12,11,1,16.0,45,27,152,2,139,6,0,30.4,0.255,5.84,0.274,0.091,19.04,18.0,131.0,0,0,0,0,0,1,1,0,0,0,0,0,High
29,10.2,85.5,2,0,2,-1,233,3,5,22.4,1.9,10,7,0,14,12,0,8.4,41,37,93,2,3,15,0,24.1,0.17,13.86,0.487,0.268,0.67,15.0,-5.0,0,0,1,0,0,0,0,1,0,0,0,0,High
44,12.3,75.5,2,0,0,0,575,2,4,24.1,5.8,8,7,0,11,10,0,6.9,32,50,45,7,24,12,0,38.1,0.436,10.26,0.651,0.15,5.78,6.0,16.0,1,0,0,0,0,0,0,1,0,0,0,0,Medium
38,9.8,40.4,0,0,0,0,192,1,1,15.4,1.7,12,7,0,13,9,0,8.1,0,45,53,2,8,10,0,28.2,0.157,2.4,3.08,0.093,1.23,-27.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,Medium
30,2.0,74.8,4,2,0,0,225,0,3,28.1,2.0,8,5,38,11,10,1,10.8,52,27,206,4,89,5,0,30.6,0.667,5.38,0.493,0.0,25.01,23.0,81.0,0,0,0,0,0,1,0,0,1,0,0,0,Medium
54,8.9,88.8,0,0,3,-1,599,1,5,17.0,2.6,8,8,35,13,12,1,6.0,26,43,95,3,1,8,0,37.1,0.263,10.99,0.548,0.101,0.17,0.0,-7.0,1,0,0,0,0,0,0,1,0,0,0,0,High
30,2.0,42.8,1,0,0,0,342,1,5,20.3,1.3,12,6,0,5,8,0,8.3,0,17,42,5,49,14,1,24.4,0.433,13.54,4.06,0.333,9.95,-26.0,41.0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
33,4.1,4.4,1,0,0,2,373,0,3,13.8,4.1,12,6,50,10,11,1,6.0,23,33,59,1,2,3,0,29.4,0.804,4.16,0.493,0.0,0.28,-4.0,-6.0,0,0,0,0,0,1,1,0,0,0,0,0,Medium
23,3.8,100.0,1,0,0,-2,398,3,5,19.3,3.8,10,7,0,9,7,0,8.6,51,11,83,5,2,18,0,27.5,0.792,14.72,0.345,0.625,0.39,24.0,-6.0,1,0,0,0,0,0,0,0,0,1,0,0,Medium
37,14.4,81.1,1,0,0,2,27,1,3,8.5,3.0,8,8,0,9,11,0,6.9,55,24,108,5,8,24,0,28.8,0.195,9.66,0.142,0.065,0.68,29.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,Low
35,15.5,26.8,0,0,0,0,126,1,1,16.2,0.5,12,9,0,12,9,0,6.0,0,27,229,3,0,17,0,23.6,0.03,2.89,3.24,0.061,0.0,-26.0,-8.0,0,0,0,0,0,1,0,1,0,0,0,0,Medium
30,8.9,61.7,0,0,1,0,152,0,1,11.9,1.8,8,7,0,12,15,0,8.4,1,29,220,4,1,8,0,19.3,0.182,2.2,1.983,0.0,0.12,-25.0,-7.0,0,0,1,0,0,0,0,1,0,0,0,0,Medium
37,11.3,87.1,4,0,0,-2,307,4,3,12.8,2.2,10,5,0,9,13,0,8.7,42,31,184,2,4,11,0,22.1,0.179,7.45,0.272,0.325,0.51,15.0,-4.0,0,1,0,0,0,0,0,0,0,1,0,0,High
48,23.2,13.5,0,2,0,0,457,1,4,17.2,2.8,12,8,0,13,9,0,6.0,0,35,131,4,31,23,0,24.1,0.116,12.71,3.44,0.041,5.33,-26.0,23.0,0,0,0,1,0,0,0,1,0,0,0,0,Medium
